0,4.583302,0.1649161,0,2.986812,0,2.216829,0,3.341509,1.597305,1.050532,0.5256198,0.4306585,1.199545,0,0.6330866,0,0.05841383,0.468211,1.280181,1.049431,1.2984,1.452463,0,0,0,0.2031336,0,0,0,0,0.2594467,3.31355,5.45877,0.95876,1.168015,0,1.891632,0,0.7313117,
0,1.213366,0.2446876,1.905971,0,0.7026795,3.076437,0,0,0.6515262,0,0,0,0.2769842,0,0.4564046,0.5913389,0.4067016,1.823463,0.4699944,0,0,0,0,0,1.836775,0,0,0,0,1.122525,0,0,0.8271936,0.9752402,0,1.90368,0.7520655,1.133854,0,
3.45099,0,0,0.008363633,0.261039,0,1.356261,0.2339389,0.6637905,1.48675,0,2.286403,0.5916007,0,0,0.7393119,0,0.4671333,0.4208791,0,0.7578055,0.5881101,0,0,0,0,0.4976279,0,0.2516534,3.812679,0.8169777,0,0,0,0,0.377732,1.699468,0.7780759,0.8488103,1.805071,
0,0,0.8946952,0.4492199,2.360489,0.8283949,0,1.053829,0,0,1.640442,0,0,0,0,0,0.6495451,0.05725049,1.593181,0,0,0.1872632,1.50013,0.2811973,0,1.112708,2.547758,0,2.549587,0,1.333944,3.184801,0,1.359941,0,0.8530658,0,0,0,0.1971304,
2.317508,0.2145841,0,0.9694242,0,0,0.2215169,0,0.2535543,0.6616607,2.152172,0,0.8977816,0,2.167193,0,1.221487,0.08536308,0,0.6567217,0,0.6398753,0,1.266274,0.9093875,0,3.072267,0,0.796654,1.530695,0,0,0,0,0.9924145,0.242879,2.374824,1.036711,2.379636,0,
0,1.625822,0,0,0.7918779,0.07629923,0,0,0,1.097081,0,0,1.730468,0,0,0.1082314,1.70334,0,0,0.8811328,0,0,0.1855329,0,0,0,0,2.050782,0,0.4896828,0,2.433489,0,3.124475,0,0.7300707,2.182052,0,1.703666,0,
0,0,1.858914,0.131809,0,0.6859694,0.4250611,1.514023,0,0,0,0,0.1692767,0,0.9658391,0,3.664335,0,0.8724716,0,0,1.591979,1.57351,4.343027,0,0,0,0,0,1.738801,0,0,3.665589,0,0,1.023199,2.94172,0.7869384,0,2.100492,
0,0,0,0,0,0.5990317,0.6347831,3.695125,0,0.2227455,0,0,0,2.43373,0,0,0.5077533,0.715328,1.684467,0.7948095,2.26568,0,3.956947,0.5217009,0.02288458,1.050053,0.1802959,0.202144,1.440637,1.810891,0,1.174833,0,0.9065773,0,3.854198,0,0,3.525954,0.900257,
0,0,0.3675926,0,0,0,0,0,1.399212,0,0.02506705,0.6922078,0,0.5126574,0,0,0,0.6056373,0.9298159,0,0,0,0.1716012,0,0,0,0.7532987,1.928733,0,0,0.1872932,0,0,0,0,0.7569631,0,1.174067,2.039952,0,
2.613127,1.022745,0,0,0.06877582,0,0.1814046,0.6569098,0,2.079999,0,0.2701627,0,0,5.735503,0,1.675171,1.665685,1.438535,1.058738,1.440372,0,3.262698,4.034521,1.611141,0,1.541954,0,1.459062,0.6325442,0,0,0,3.16897,1.67432,0.4245105,0,0,0,0,
0,2.317763,2.237575,0,1.092641,0.6544901,1.227707,1.816085,1.57556,0.9905496,1.296368,0,0,2.183031,0,0,0,2.700935,0.1061318,0,1.055028,3.076929,0,5.902571,0.01961243,1.673605,2.101632,0,0,0,0.345815,2.000014,0.8955641,0,2.156431,0,0.5925193,1.393348,2.177512,0,
0,0,0,0,0,2.588102,0.3386483,1.494659,0.05164177,0,0,0,0,0.8633088,0,1.062185,0,0,0,0,0.91166,0.2783581,0.1306652,1.664222,0,0.9476503,2.349784,1.011432,0.5463594,0,1.152499,0,0.2683033,0.4978178,0,0,0,4.594237,0,1.320089,
0,0,0.2477994,0.1062614,0,4.813838,1.353442,0,3.537839,0,0,0,0.9069967,0,0,0,0.2512278,1.117569,0,0,0,0,2.649665,0,0,3.471664,2.058651,1.836466,1.771199,0.4258021,0,0,0,1.195376,0,1.075646,0,0,0,5.495009,
1.256579,0,0,0,2.195325,0.00987303,0,4.291266,0.05799007,1.603273,0.3497428,0,0.8045797,0,2.052293,0.1928759,1.444425,5.132906,0.5306265,0.4249838,0,1.827471,0,0,0,0,1.084543,2.665881,1.907406,2.314146,0.2734025,0,1.809247,0.9446404,0.7586966,0,4.147753,1.602813,0,1.277776,
0,0,0,0,0.5273775,0,0,0,1.128252,0.6767689,1.088509,1.036888,3.90153,1.160076,0,0.008103782,1.916921,0,3.331018,0,0.7679512,1.060705,0,0.1237452,0,0.5867361,2.32532,0,2.357885,1.466222,0,0,0,1.308392,0,2.761293,0,0,2.200839,0,
0,0,0,0,0,0,0.7312298,0.6333159,0,0,3.926816,1.659964,0.3429842,0,1.159848,0,1.548362,0.05667453,0,0,1.80635,0.7300606,0,0,0,0.2668337,0.4285014,1.160415,0.6666445,2.428765,0,0.3807549,1.067189,0,2.183402,4.984103,0,0,0,0,
1.211385,2.186057,2.601359,1.563591,2.43099,0,0,0.7376636,1.230416,0.696429,0.1029382,0,0.5343168,0,0.9860039,1.412939,1.191073,0,0.04017344,2.353489,0,0,0,0,0,5.1929,1.124497,3.686398,0.3783647,0,3.079037,2.397834,0,0,0,0,1.434378,0,1.432997,1.327196,
2.77544,0,0.1510192,0,1.856614,0,0.6676674,0,1.033881,0.3784008,0,0.5726585,0.7092656,0.2006567,0.2422628,0,0.6637189,0,0.2605968,0,0.7880939,0.9052314,0.2556048,2.772217,1.570323,0,0,0,0,2.36509,0,0.1510015,0,0,0.7254782,0,1.212269,0,0,1.750202,
0,0.3370265,0,0,2.510146,0.4434611,0.01798958,1.246988,0,0,0,2.051906,0,0.8534067,0,1.12769,0.2396949,0,0,0,0,0.4587831,0,0,1.882404,0.2688948,0,0,1.373348,0,0,0,0,0.6228803,0,0,1.673744,0,0,0,
0,0,2.698304,3.950775,0,0,0,0,0,1.500645,1.19944,0.7985771,1.670577,0,0,0,0.8100462,0,0,0.3194436,0.2316138,0,0,2.162469,0.3626788,0,0.7622058,0.2125034,0,0,0,0,0,0.5352217,0,1.805281,3.262288,0,0.5690969,1.959679,
0,0,0.8105439,0.3505248,0,0,0.2693278,2.873593,0.4954639,2.263596,0.4772432,0.5031474,1.232759,0,0,0,0,3.664539,1.653025,0,1.673216,0,0,0,0,0,0.2015682,0,0.2662704,2.472907,0,0.1751392,0.1329134,0,3.367264,0,0.5216382,0,0.677417,0,
0.8866444,1.737487,1.100247,0,0.5289018,0,0,0,0,0,2.610582,0,0.3772782,1.661326,0,0.426102,2.532843,0.6210466,1.197627,0,0,1.84495,0,0,0.2678511,0,0.9720445,1.666627,4.584845,2.677352,1.167427,0.5766597,0.3495958,3.146952,0,0.02618721,0,0,0,0,
0,0,0,0,0,0,1.618943,0.3045619,0,0,2.097723,4.542289,2.185213,0,0.3360067,0.4591938,0.6652042,0,0.6882821,0,0,1.709084,0,0,0,0.1818309,1.831454,0,1.41404,2.262722,0,0,0,0,1.30044,0,0,2.662348,1.493864,2.577411,
0.08157843,0,0.7542701,0.2642317,0.7416708,1.217678,3.342486,0.7619912,0.2436083,0,0.4040325,0,1.359908,1.386561,0,0,1.075148,2.170162,0,0,2.108991,0,0,0,1.698182,3.123096,1.531054,4.044998,3.027979,1.045174,0.5855588,1.956682,0,0,0.7041455,1.534331,0.940732,2.958052,0,4.611696,
0,2.239846,1.360064,0.4525508,0.8912033,0,0.384472,0,1.56664,0,0,0,0,0,2.459774,1.661444,0,0,1.075495,0,0.9175738,2.061446,0,0,0,0.008097298,1.425075,1.355531,0,0,0.6617147,2.946433,2.764902,2.036755,0,0,1.103016,1.385836,1.566319,0,
1.727196,0,2.78132,0,0.2036962,0.03623904,1.847587,0,0,0.8308672,0,0,0,3.338385,0,0.2526117,0.5275726,0,0,0.5724188,0,0,5.583255,0.5694609,0,0,4.095534,2.68374,0.6640874,0,0,4.460987,0.6229117,0,0.6885414,0.2816741,1.156958,0,0,2.828007,
1.565426,0,0,2.062373,0.7294235,1.883799,3.869776,0,1.702354,1.755863,0,0.5123011,1.033721,0,0,0,0,0,1.700291,0.5334913,0,0,0,0.1774118,0.6714642,1.635849,0.4899155,0.4763046,0.1057743,0.4625545,0,0,0,0,0,0,0.07641556,0.5088326,0,0,
0,0,0,0,1.393628,0,3.146413,0,0,0.8576724,0,0.04705767,1.81236,1.242334,1.831447,0,2.349193,0.3818949,0.5205982,1.950705,0.6248555,0,0,0.1507232,0,0.4103467,0,0,0,0.9076683,0,0,0,1.754584,0,0,0.09058314,1.238755,0.8000985,0,
