Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
20B-04,49.96,1.59,13.73,11.8,0.21,7.27,11.88,2.27,0.25,0.18,,Glass,2.52,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.58,1.63,14.16,11.54,0.21,7.14,11.85,2.25,0.29,0.16,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.68,1.65,14.12,11.98,0.19,7.3,11.91,2.27,0.31,0.17,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.76,1.57,13.83,11.68,0.22,7.11,11.91,2.21,0.26,0.19,,Glass,2.4699999999999998,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.17,1.54,13.73,11.96,0.22,7.12,11.88,2.31,0.25,0.17,,Glass,2.56,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,50.31,1.56,13.9,11.99,0.2,7.17,11.64,2.37,0.28,0.17,,Glass,2.6500000000000004,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.51,1.62,13.74,12.02,0.21,7.17,11.64,2.25,0.3,0.17,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.37,1.53,13.9,11.78,0.21,7.11,11.72,2.27,0.27,0.15,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-04,49.61,1.63,13.89,12.13,0.19,7.1,11.76,2.35,0.27,0.17,,Glass,2.62,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.64,1.58,13.63,11.85,0.2,7.18,11.7,2.21,0.29,0.15,,Glass,2.5,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.23,1.6,13.82,12.15,0.21,7.27,12.11,2.28,0.35,0.15,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.56,1.66,13.29,12.06,0.2,6.95,11.77,2.27,0.34,0.16,,Glass,2.61,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.14,1.69,13.83,12.09,0.2,7.13,11.76,2.24,0.28,0.16,,Glass,2.5200000000000005,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.5,1.58,13.53,12.28,0.2,7.01,11.94,2.21,0.27,0.16,,Glass,2.48,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,48.99,1.56,13.85,12.15,0.21,7.03,11.67,2.43,0.28,0.18,,Glass,2.71,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.12,1.63,13.67,12.1,0.2,7.04,11.76,2.29,0.28,0.18,,Glass,2.5700000000000003,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.93,1.71,13.77,11.75,0.22,7.15,11.8,2.22,0.3,0.18,,Glass,2.52,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.39,1.67,13.92,11.75,0.22,7.06,11.74,2.19,0.29,0.17,,Glass,2.48,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-06,49.59,1.64,14.11,12.21,0.2,7.09,11.83,2.39,0.29,0.19,,Glass,2.68,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.53,1.64,13.62,12.0,0.19,7.01,11.66,2.15,0.36,0.15,,Glass,2.51,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.86,1.58,13.64,11.76,0.21,6.98,11.9,2.42,0.33,0.18,,Glass,2.75,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.85,1.61,13.82,12.11,0.24,6.92,11.66,2.27,0.31,0.19,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.9,1.61,14.02,11.83,0.2,7.13,12.09,2.28,0.25,0.18,,Glass,2.53,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.65,1.74,13.74,11.69,0.22,6.93,11.55,2.34,0.26,0.18,,Glass,2.5999999999999996,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.8,1.59,13.74,11.96,0.2,7.14,11.77,2.17,0.25,0.18,,Glass,2.42,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.77,1.57,13.97,11.92,0.2,7.13,11.71,2.24,0.27,0.18,,Glass,2.5100000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.86,1.56,13.44,12.08,0.22,7.23,12.02,2.24,0.27,0.17,,Glass,2.5100000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,50.06,1.6,14.02,11.5,0.21,7.13,11.81,2.31,0.23,0.18,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.39,1.62,13.69,11.81,0.22,7.08,11.72,2.24,0.27,0.18,,Glass,2.5100000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-07,49.66,1.65,14.07,11.31,0.21,7.09,11.74,2.3,0.32,0.18,,Glass,2.6199999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.87,1.61,13.67,12.41,0.21,7.1,11.41,2.2,0.27,0.15,,Glass,2.47,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.93,1.65,14.19,12.33,0.21,7.18,11.8,2.21,0.25,0.16,,Glass,2.46,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.97,1.59,14.36,11.85,0.22,7.06,11.69,2.38,0.28,0.18,,Glass,2.66,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,50.0,1.63,14.05,12.54,0.21,7.15,11.85,2.16,0.28,0.18,,Glass,2.4400000000000004,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.67,1.61,13.66,11.77,0.2,7.26,11.83,2.26,0.24,0.16,,Glass,2.5,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,50.01,1.64,14.0,12.16,0.2,7.16,12.04,2.29,0.27,0.16,,Glass,2.56,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.9,1.68,13.86,12.14,0.19,7.01,11.69,2.25,0.28,0.18,,Glass,2.5300000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.17,1.68,14.37,11.88,0.19,7.29,11.83,2.31,0.22,0.16,,Glass,2.5300000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.64,1.64,13.75,11.66,0.21,7.13,11.8,2.29,0.29,0.15,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.52,1.67,14.03,11.75,0.22,7.04,11.53,2.17,0.31,0.17,,Glass,2.48,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-09,49.49,1.57,13.98,11.76,0.2,7.05,11.98,2.24,0.28,0.16,,Glass,2.5200000000000005,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,49.47,1.57,13.34,12.18,0.19,6.99,11.8,2.21,0.32,0.16,,Glass,2.53,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,49.76,1.69,13.65,12.28,0.21,6.88,11.61,2.41,0.34,0.16,,Glass,2.75,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,49.61,1.67,13.71,12.04,0.21,6.82,11.73,2.45,0.33,0.18,,Glass,2.7800000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,49.75,1.65,13.9,11.79,0.23,7.16,11.88,2.32,0.23,0.17,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,50.49,1.64,13.95,12.14,0.21,6.92,11.59,2.3,0.26,0.15,,Glass,2.5599999999999996,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,50.11,1.6,13.88,12.1,0.22,7.12,11.75,2.33,0.27,0.19,,Glass,2.6,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,49.72,1.64,13.92,11.46,0.2,7.11,12.12,2.29,0.33,0.17,,Glass,2.62,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,49.93,1.67,14.3,12.06,0.21,6.83,11.62,2.32,0.3,0.17,,Glass,2.6199999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,49.28,1.65,13.7,11.91,0.21,7.05,11.77,2.26,0.28,0.17,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
20B-14,50.4,1.6,14.0,11.97,0.22,7.04,11.82,2.26,0.26,0.16,,Glass,2.5199999999999996,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,50.7,1.63,14.06,11.85,0.19,7.37,11.87,2.34,0.25,0.17,,Glass,2.59,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.97,1.63,13.95,12.04,0.2,7.2,11.71,2.23,0.28,0.16,,Glass,2.51,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.59,1.63,14.12,11.73,0.2,7.08,11.93,2.27,0.31,0.15,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.99,1.65,13.66,12.25,0.22,7.07,11.92,2.18,0.26,0.14,,Glass,2.4400000000000004,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,48.59,1.63,14.17,11.91,0.22,7.23,12.06,2.35,0.31,0.15,,Glass,2.66,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.26,1.68,14.17,12.21,0.23,7.11,11.84,2.42,0.27,0.15,,Glass,2.69,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.26,1.66,13.81,11.98,0.2,7.08,11.83,2.27,0.25,0.15,,Glass,2.52,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,50.0,1.69,13.63,11.91,0.21,7.16,11.75,2.42,0.26,0.15,,Glass,2.6799999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.61,1.67,13.68,12.05,0.21,7.12,11.82,2.42,0.23,0.15,,Glass,2.65,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.85,1.66,13.82,12.04,0.24,7.34,11.88,2.47,0.29,0.13,,Glass,2.7600000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.24,1.66,13.86,11.99,0.22,7.09,12.04,2.33,0.3,0.15,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.72,1.61,14.09,11.78,0.22,7.21,11.65,2.28,0.26,0.15,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.89,1.72,14.0,11.98,0.24,7.28,11.87,2.3,0.3,0.16,,Glass,2.5999999999999996,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.55,1.64,13.69,11.59,0.21,7.19,11.86,2.27,0.28,0.15,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,47.38,1.64,13.82,11.91,0.2,6.9,11.74,2.24,0.31,0.15,,Glass,2.5500000000000003,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-01,49.65,1.71,13.97,12.4,0.22,7.14,11.53,2.37,0.31,0.16,,Glass,2.68,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,50.23,1.57,13.93,12.28,0.2,7.19,11.81,2.43,0.28,0.16,,Glass,2.71,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.5,1.62,13.77,12.29,0.22,6.98,11.1,2.38,0.35,0.19,,Glass,2.73,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,48.84,1.73,14.18,12.72,0.22,6.99,11.31,2.33,0.33,0.16,,Glass,2.66,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.49,1.6,14.01,11.82,0.21,7.18,11.65,2.38,0.29,0.16,,Glass,2.67,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.81,1.62,13.59,12.17,0.2,7.04,11.71,2.24,0.3,0.17,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.5,1.64,13.81,12.17,0.2,6.74,11.18,2.45,0.36,0.18,,Glass,2.81,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.26,1.6,13.69,11.84,0.21,6.99,12.02,2.39,0.32,0.16,,Glass,2.71,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.48,1.53,13.53,11.95,0.21,7.29,12.1,2.26,0.25,0.17,,Glass,2.51,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.65,1.68,13.76,11.88,0.23,7.12,11.76,2.35,0.28,0.15,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
21B-02,49.2,1.63,14.0,11.72,0.21,7.21,11.81,2.32,0.31,0.17,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,49.99,1.6,13.79,12.42,0.21,7.08,11.73,2.33,0.36,0.16,,Glass,2.69,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,50.05,1.57,13.6,11.7,0.22,7.27,11.68,2.31,0.28,0.17,,Glass,2.59,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,49.32,1.62,14.19,12.47,0.21,7.32,11.94,2.44,0.32,0.16,,Glass,2.76,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,50.19,1.67,14.0,11.79,0.21,7.15,11.9,2.35,0.24,0.15,,Glass,2.59,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,50.28,1.69,13.99,11.72,0.21,6.97,11.81,2.36,0.26,0.17,,Glass,2.62,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,49.3,1.62,13.8,12.08,0.22,7.19,12.01,2.15,0.3,0.17,,Glass,2.4499999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,50.07,1.76,13.5,12.31,0.21,6.59,11.35,2.57,0.3,0.17,,Glass,2.8699999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,49.95,1.6,13.9,12.22,0.21,7.22,12.04,2.23,0.29,0.16,,Glass,2.52,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,51.0,1.75,14.28,12.48,0.22,6.45,11.07,2.48,0.35,0.17,,Glass,2.83,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-02,50.0,1.6,13.94,11.63,0.21,7.34,11.35,2.34,0.26,0.17,,Glass,2.5999999999999996,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,49.45,1.58,14.13,12.2,0.21,7.27,11.69,2.32,0.3,0.18,,Glass,2.6199999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,49.37,1.62,13.84,12.26,0.22,7.15,11.71,2.36,0.31,0.15,,Glass,2.67,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,49.6,1.75,13.68,12.13,0.2,6.87,11.41,2.33,0.29,0.17,,Glass,2.62,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,50.47,1.65,14.15,11.83,0.22,7.12,11.67,2.56,0.3,0.17,,Glass,2.86,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,49.91,1.62,14.55,11.93,0.22,6.88,11.6,2.39,0.3,0.18,,Glass,2.69,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,49.13,1.6,13.83,11.79,0.2,7.09,11.69,2.33,0.28,0.16,,Glass,2.6100000000000003,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,49.2,1.6,14.38,12.03,0.21,7.16,11.86,2.13,0.27,0.15,,Glass,2.4,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,49.8,1.61,14.1,11.57,0.22,7.13,11.74,2.19,0.3,0.15,,Glass,2.4899999999999998,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-03,50.39,1.71,13.95,12.55,0.22,6.9,11.78,2.41,0.33,0.15,,Glass,2.74,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-04,49.3,1.66,13.99,11.94,0.21,7.16,12.04,2.16,0.32,0.15,,Glass,2.48,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-04,49.73,1.61,13.63,12.15,0.21,7.13,11.9,2.3,0.33,0.16,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-04,49.55,1.55,14.07,11.9,0.21,7.12,11.95,2.31,0.31,0.17,,Glass,2.62,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-04,49.67,1.67,13.46,11.9,0.21,7.15,11.87,2.34,0.29,0.16,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
23B-04,50.63,1.65,14.07,12.29,0.22,6.81,11.57,2.44,0.28,0.17,,Glass,2.7199999999999998,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.53,1.7,13.84,11.96,0.2,7.14,11.75,2.29,0.36,0.14,,Glass,2.65,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.46,1.63,14.21,12.22,0.2,6.98,11.7,2.3,0.28,0.13,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.35,1.65,13.92,12.26,0.22,7.11,12.0,2.31,0.24,0.16,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.09,1.63,13.79,12.16,0.23,7.34,11.82,2.36,0.29,0.17,,Glass,2.65,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.17,1.57,13.83,12.0,0.22,6.93,11.68,2.27,0.27,0.16,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.49,1.67,13.83,12.46,0.22,6.78,11.72,2.44,0.3,0.16,,Glass,2.7399999999999998,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.01,1.64,13.91,11.99,0.22,7.01,11.75,2.34,0.2,0.16,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.23,1.55,14.32,12.06,0.22,7.21,11.74,2.25,0.28,0.16,,Glass,2.5300000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,48.91,1.64,14.19,12.16,0.22,7.09,11.82,2.32,0.25,0.15,,Glass,2.57,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.57,1.68,14.02,12.05,0.22,7.11,11.71,2.27,0.24,0.15,,Glass,2.51,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-01,49.29,1.52,14.17,12.11,0.23,7.18,12.05,2.44,0.26,0.15,,Glass,2.7,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.38,1.74,13.9,12.13,0.19,6.96,11.73,2.23,0.3,0.14,,Glass,2.53,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.6,1.6,14.13,11.82,0.21,7.16,11.32,2.3,0.28,0.16,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.85,1.61,13.98,12.14,0.19,7.21,11.61,2.25,0.28,0.16,,Glass,2.5300000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.87,1.66,13.65,12.67,0.21,7.18,11.7,2.3,0.25,0.15,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.52,1.64,13.73,12.09,0.21,7.21,11.76,2.24,0.28,0.16,,Glass,2.5200000000000005,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.83,1.65,13.62,12.47,0.21,7.09,11.6,2.39,0.27,0.15,,Glass,2.66,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.91,1.62,14.01,11.99,0.2,7.19,11.95,2.18,0.27,0.16,,Glass,2.45,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,48.91,1.65,13.65,12.22,0.2,7.22,11.7,2.26,0.27,0.16,,Glass,2.53,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.29,1.61,13.51,12.37,0.22,7.32,11.81,2.43,0.21,0.15,,Glass,2.64,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,49.61,1.67,13.91,12.27,0.2,7.21,11.63,2.37,0.27,0.15,,Glass,2.64,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-02,50.45,1.71,13.64,11.82,0.2,6.9,11.7,2.3,0.25,0.16,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,49.87,1.57,13.76,12.06,0.2,6.95,11.65,2.17,0.29,0.15,,Glass,2.46,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,50.08,1.69,13.32,12.19,0.19,7.08,11.43,2.35,0.25,0.15,,Glass,2.6,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,49.74,1.62,13.76,12.24,0.19,7.1,11.76,2.26,0.26,0.14,,Glass,2.5199999999999996,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,50.04,1.67,13.56,12.52,0.19,6.92,11.44,2.37,0.3,0.17,,Glass,2.67,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,50.08,1.66,13.64,12.03,0.18,6.94,11.52,2.27,0.29,0.15,,Glass,2.56,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,49.73,1.7,13.75,11.95,0.21,7.07,11.88,2.21,0.27,0.16,,Glass,2.48,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,49.38,1.53,13.66,12.18,0.19,7.21,11.9,2.32,0.26,0.16,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,49.06,1.56,13.89,12.37,0.19,7.05,11.78,2.34,0.24,0.15,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,49.37,1.66,13.92,12.13,0.19,7.05,11.72,2.31,0.23,0.15,,Glass,2.54,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
24B-03,49.3,1.62,13.62,12.13,0.2,7.18,12.11,2.32,0.29,0.17,,Glass,2.61,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.84,1.71,13.8,11.81,0.2,6.86,11.28,2.35,0.3,0.19,,Glass,2.65,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,49.51,1.46,14.15,11.41,0.2,7.47,12.24,2.2,0.25,0.14,,Glass,2.45,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.92,1.86,14.04,12.17,0.23,6.67,11.35,2.59,0.33,0.19,,Glass,2.92,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,49.73,1.66,14.16,11.22,0.21,7.47,12.19,2.22,0.24,0.14,,Glass,2.46,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.15,1.78,13.68,11.95,0.2,6.81,11.49,2.31,0.34,0.19,,Glass,2.65,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.93,1.66,14.19,11.84,0.2,6.85,11.47,2.35,0.26,0.17,,Glass,2.6100000000000003,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.68,1.75,13.9,11.95,0.21,6.89,11.9,2.32,0.34,0.19,,Glass,2.6599999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.08,1.57,14.31,11.18,0.22,7.23,12.21,2.27,0.25,0.16,,Glass,2.52,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.42,1.61,13.94,12.25,0.21,6.9,11.52,2.43,0.33,0.18,,Glass,2.7600000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.65,2.17,13.1,14.28,0.27,5.68,10.09,2.63,0.39,0.23,,Glass,3.02,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.74,1.73,13.29,12.38,0.21,6.81,11.53,2.5,0.35,0.17,,Glass,2.85,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.23,1.73,13.46,12.1,0.21,6.65,11.39,2.34,0.27,0.17,,Glass,2.61,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.27,1.71,13.71,12.01,0.22,6.73,11.51,2.55,0.3,0.16,,Glass,2.8499999999999996,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.73,1.77,13.62,12.37,0.2,6.57,11.28,2.53,0.4,0.16,,Glass,2.9299999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,51.11,1.77,13.66,12.07,0.22,6.53,11.18,2.4,0.36,0.18,,Glass,2.76,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.57,1.75,13.37,12.46,0.23,6.71,11.41,2.31,0.32,0.17,,Glass,2.63,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,49.52,1.53,14.13,11.17,0.22,7.35,12.43,2.25,0.32,0.14,,Glass,2.57,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-01,50.51,1.52,13.7,11.39,0.21,7.38,12.18,2.19,0.25,0.15,,Glass,2.44,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
88-02,50.25,1.7,13.83,11.75,0.22,6.81,11.64,2.28,0.27,0.17,,Glass,2.55,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
