Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
BORG_A20-2,48.88,0.81,18.17,7.6,0.13,6.5,9.31,3.33,0.53,0.11,,Glass,3.8600000000000003,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
BLW03-1_03-048-31.1,48.43,1.65,17.95,9.48,0.2,8.05,10.09,3.43,0.58,0.43,,Glass,4.01,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
1995-CN-A_CN_A_Ol3 ,47.16,1.11,17.82,12.66,0.26,4.22,11.21,2.11,0.53,0.26,,Glass,2.6399999999999997,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
LTB02-2_04-023-25.1,49.33,1.28,17.74,9.13,0.1,8.17,9.94,3.16,0.52,0.35,,Glass,3.68,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
KR96BV_KR96BV-41,53.61,1.01,16.9,9.31,0.15,3.85,7.63,3.42,0.82,0.18,,Glass,4.24,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
spv-7_spv-7-1-2-1,45.49,2.71,17.68,8.35,0.1,7.67,12.96,3.37,1.13,0.43,,Glass,4.5,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
Monte Nuovo_cf195_bcpx113_m_5,57.79,0.4,18.21,3.36,0.04,0.99,3.2,4.11,8.59,0.14,,Glass,12.7,Ph,"['Phonolite', 'Foid Syenite']"
KAM 12 (PK-13/7)_2-6,50.4,2.49,15.78,12.63,0.25,4.44,7.5,3.26,2.03,1.15,,Glass,5.289999999999999,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
AV06-1_AV-1-5-5,50.77,1.77,13.12,11.12,0.16,8.34,9.06,3.21,0.61,0.25,,Glass,3.82,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
TB02-1_04-029-4.1,50.77,1.5,17.38,7.63,0.12,8.43,8.73,3.09,0.6,0.19,,Glass,3.69,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
SEC Feb. 1999_CSEO INQC-2,44.31,1.83,16.01,9.73,0.16,4.83,11.33,3.54,2.14,0.62,,Glass,5.68,U1,"['Tephrite', 'Foid Gabbro']"
MFR2B_MI42A,50.87,1.39,14.86,5.88,,5.1,10.27,3.47,1.7,0.5,,Glass,5.17,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
QV04-3b_04-050-4.2,48.77,1.77,15.08,7.17,0.1,4.45,12.06,1.43,1.83,1.24,,Glass,3.26,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
D46-1-1_D46-1-1_23Brh,46.97,0.88,15.26,9.6,0.17,8.39,12.41,2.07,0.5,0.13,,Glass,2.57,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
2006_ 2006-B3b,46.91,1.71,15.88,9.9,0.24,4.67,8.52,3.63,1.63,0.52,,Glass,5.26,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
KVG-72696J_ol3mi1,49.13,2.9,16.59,9.92,0.18,6.4,9.42,3.35,1.61,0.45,,Glass,4.96,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
D46-1-4_D46-1-4_17,51.13,1.28,18.26,9.22,0.18,3.79,13.97,0.62,0.61,0.16,,Glass,1.23,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
NEC 271195_OL13,50.2,1.33,16.35,10.91,,3.48,7.56,5.32,2.3,0.87,,Glass,7.62,S2,"['Basaltic \nTrachy-\nandesite', 'Monzo-\ndiorite']"
BUL7-4-2010_BUL7-4-2010,51.74,1.1,17.31,9.11,0.17,5.27,9.11,3.1,0.59,0.27,,Glass,3.69,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
RC07-4_RC-4-1-2-1,49.27,1.81,18.39,6.71,0.01,6.65,11.48,3.63,1.03,0.62,,Glass,4.66,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
BN1997-98_c12_2,44.61,1.68,18.52,10.86,0.19,3.92,9.94,4.64,2.08,0.73,,Glass,6.72,U1,"['Tephrite', 'Foid Gabbro']"
200676_76_1,67.79,1.12,16.92,1.48,0.06,0.17,1.24,5.42,4.38,0.42,,Glass,9.8,T2,"['Trachydacite', 'Quartz \nMonzonite']"
