Citation,Volcano,SampleID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral,Host
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_1,46.73,0.77,16.79,10.3,0.2,5.19,12.3,1.79,0.43,0.13,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_2,46.68,0.73,17.86,8.58,0.21,4.73,13.28,1.91,0.4,0.15,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_3,53.47,0.97,16.23,9.29,0.17,3.22,8.36,3.31,1.36,0.32,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_4,47,0.66,17.68,9.5,0.26,4.59,12.79,1.96,0.38,0.11,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_5,48.41,0.83,16.24,9.87,0.27,4.22,11.65,2.21,0.51,0.13,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_7,47.19,0.85,18.71,9.33,0.17,4.34,12.66,2.31,0.54,0.17,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_8,47.92,0.77,16.52,9.83,0.2,5.27,12.24,1.93,0.46,0.15,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_9,48.41,0.89,16.99,10.12,0.23,3.47,11.9,2.34,0.62,0.16,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_10,46.13,0.74,18.09,8.99,0.15,4.59,12.64,1.77,0.37,0.14,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_11,46.92,0.77,17.93,9.1,0.21,4.62,12.42,2,0.43,0.12,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_12A,51.54,1.05,17.96,7.98,0.18,3.78,10.18,2.07,0.96,0.26,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_12B,46.64,0.74,18.31,10.18,0.23,4.05,12.61,2.11,0.48,0.09,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_13,47.99,0.81,16.98,10.3,0.23,4.26,11.27,2.28,0.57,0.14,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_14,46.49,0.68,17.53,9.83,0.18,5.24,11.66,2.01,0.46,0.13,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_15,46.27,0.63,18.17,9.45,0.21,4.47,13.5,1.72,0.38,0.12,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_16,46,0.67,17.28,10.67,0.22,5.36,12.07,2.09,0.42,0.14,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_17,49.68,0.82,16.89,8.7,0.18,3.97,10.79,2.38,0.86,0.29,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_18,48.36,0.83,16.48,9.67,0.2,4.57,11.35,2.32,0.66,0.19,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_19,47.4,0.84,18.78,8.35,0.19,3.96,13.08,2.04,0.4,0.12,,,Glass,Olivine
"Kelley, K.A. and Cottrell, E., 2012. The influence of magmatic differentiation on the oxidation state of Fe in a basaltic arc magma. Earth and Planetary Science Letters, 329, pp.109-121.",AGRIGAN,AGR19-02_20,48.36,0.75,16.83,8.69,0.18,4.5,12.31,2.13,0.55,0.16,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR19_Agr19A,46.43,0.64,17.52,10.18,0.2,4.83,12.27,1.83,0.59,0.13,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR19_Agr19C,45.87,0.56,14.71,13.07,0.24,9.03,10.15,1.66,0.23,0.12,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR19_Agr19E,47.31,0.57,15.05,12.04,0.22,8.11,10.38,1.94,0.29,0.1,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR19_Agr19F,47.04,0.81,15.02,12.67,0.21,6.38,10.41,2.25,0.45,0.39,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR19_Agr19G,50.13,0.73,15.93,11.1,0.18,5.16,9.37,2.83,0.65,0.12,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR Kimi_AgrKimi-1,48.31,0.71,17.06,11.19,0.16,4.02,11.19,2.68,0.86,0.13,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR Kimi_AgrKimi2-1,53.43,0.97,14,10.57,0.14,3.54,7.39,3.59,1.43,0.17,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",AGRIGAN,AGR Kimi_AgrKimi-3,51.43,1.06,14.76,12.26,0.23,3.37,9.02,2.75,1.06,0.17,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug#2,51.36,0.9,14.23,12.73,0.25,4.91,7.64,2.82,0.49,0.09,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug#2B,50.08,1.2,14.95,13.16,0.27,4.95,8.52,2.39,0.33,0.09,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug#3,50.18,0.94,14.76,13.77,0.22,5.46,7.1,3.22,0.62,0.14,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug#5-1,51.02,0.86,16.83,10.83,0.19,3.58,9.35,3.5,0.63,0.16,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug#5-2,48.56,1.23,16,11.67,0.2,4.52,8.76,3.26,0.57,0.12,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug#6b,46.51,0.69,17.31,11.03,0.19,5.7,11.08,2.29,0.38,0.09,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug1-4,51.85,1.25,14.98,12.16,0.19,5.42,7.88,2.67,0.52,0.15,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_Gug4-22B,49.7,0.74,16.96,10.75,0.13,5.7,10.05,2.38,0.36,0.04,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugA,46.1,0.69,18.29,11.21,0.24,6.2,11.64,1.95,0.21,0,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugC,47.17,0.69,17.59,11.19,0.25,6.22,11.4,1.99,0.33,0.08,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugD,45.7,0.74,18.01,11.32,0.24,5.44,12.58,1.95,0.3,0.09,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugE,48.38,0.71,16.02,13.27,0.27,5.67,9.59,2.41,0.37,0.16,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugF,46.01,0.8,18.14,11.8,0.26,4.85,12.5,1.98,0.33,0.04,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugG,47.45,0.51,15.71,14.15,0.32,6.01,10.27,1.72,0.22,0.04,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugH,48.83,0.99,14.92,13.75,0.38,5.46,10.04,2.22,0.44,0.02,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugI,51.9,0.92,14.71,13.75,0.3,4.86,7.7,2.74,0.51,0.11,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugL,51.39,1.38,15.49,13.2,0.24,3.12,9.16,2.89,0.41,0.07,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugM,52.07,1.05,17.36,9.6,0.19,2.44,9.77,3.23,0.57,0.21,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugOa,52.32,1.1,15.77,11.62,0.2,4.23,9.02,3.02,0.54,0.08,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugOb,53.93,1.27,15.74,10.73,0.2,3.8,8.47,3.05,0.65,0.08,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugP,50.85,1.17,16.45,12.9,0.28,3.92,9.28,3.25,0.53,0.11,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugQa,46.84,0.77,16.2,13.8,0.24,4.83,11.17,1.69,0.22,0.1,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugQb,47.33,0.8,16.97,13.2,0.22,3.99,11.16,2.03,0.24,0.13,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugR,50.42,0.87,15.25,13.07,0.22,4.9,8.77,2.67,0.41,0.13,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugS,51.55,1.02,14.86,13.1,0.23,4.15,8.14,2.81,0.49,0.15,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugT,51.44,0.99,14.26,12.84,0.22,4.73,7.97,2.61,0.48,0.14,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugU,47.77,1.36,15.62,13.29,0.21,5.1,9.48,3.21,0.52,0.15,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugW,50.56,1.3,15.58,12.16,0.25,4.51,8.74,2.85,0.51,0.14,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugXa,46.94,0.93,17.66,10.65,0.17,5.18,12.27,2.09,0.23,0.11,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugXb,49.97,0.76,16.58,9.67,0.16,5.5,10.26,2.38,0.43,0.08,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugXc,49.33,1.09,16.91,10.02,0.13,5.26,10.79,2.4,0.42,0.11,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugXd,49.48,0.8,17.21,9.56,0.17,4.6,11.32,2.32,0.4,0.1,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugY,51.25,0.99,14.44,13.39,0.24,4.56,8.07,2.75,0.45,0.11,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugZa,47.56,0.61,16.16,13.91,0.24,4.6,11.11,1.78,0.19,0.12,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugZb,50.49,0.87,16.83,11.93,0.21,2.53,9.46,3.07,0.5,0.1,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugAA,48.31,1.61,16.15,11.65,0.19,4.33,9.58,2.89,0.5,0.13,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugAB-1,45.27,0.79,16.29,13.14,0.23,5.93,11.92,1.77,0.33,0.02,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugAB-2,45.31,0.84,17.22,12.95,0.25,4.94,12.7,1.92,0.33,0.05,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugAC,47.74,0.45,14.43,15.33,0.3,5.2,10.8,1.64,0.23,0.01,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugAD,52.32,0.99,15.95,9.17,0.19,5.25,8.91,2.99,0.56,0.07,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugAE,47.53,0.75,17.62,10.92,0.21,5.31,10.77,2.03,0.31,0.06,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14B,51.69,1.05,14.7,12.52,0.23,3.23,10.19,2.25,0.75,0.21,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14E,51.17,1.09,14.29,12.56,0.19,5.26,9.09,2.52,0.82,0.21,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14F,51.96,1.28,13.77,12.85,0.21,3.23,10.51,2.59,0.87,0.27,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14G,49.82,0.9,13.63,13.87,0.26,5.2,9.72,2.69,0.7,0.11,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14H,49.36,0.75,15.46,11.27,0.21,5.86,10.93,2.54,0.51,0.14,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14I,52.74,1.24,14.68,11.46,0.2,3.68,9.79,2.68,0.95,0.2,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14J,52.01,1.22,14.06,13.03,0.25,3.17,10.28,2.45,0.8,0.2,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14Ka,49.57,0.9,15.87,11.03,0.2,4.59,11.35,2.39,0.48,0.13,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14Kb,48.5,0.83,15.83,11.49,0.17,5.6,11.44,2.3,0.44,0.08,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14Kc,49.18,0.85,16.16,11.33,0.19,4.03,12.15,2.34,0.44,0.09,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14L,51.36,1.1,12.9,13.09,0.22,4.39,10.15,2.32,0.8,0.21,,,Glass,Olivine
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB14_PB14N,52.7,1.37,14.22,12.22,0.21,3.45,10.07,3.06,0.98,0.23,,,Glass,Olivine
