Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC07-3_RC-3-5-1-1,46.33,2.05,18.0,6.41,0.09,8.78,12.46,3.51,0.86,0.47,,,Glass
"Robidoux, P., Rotolo, S.G., Aiuppa, A., Lanzo, G. and Hauri, E.H., 2017. Geochemistry and volatile content of magmas feeding explosive eruptions at Telica volcano (Nicaragua). Journal of Volcanology and Geothermal Research, 341, pp.131-148.",TELICA,TEL04K_10A,56.75,0.85,13.99,8.37,0.21,2.05,5.06,3.29,3.07,0.38,0.01,0.03,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Caulfield, J. T., Turner, S. P., Smith, I. E. M., Cooper, L. B. & Jenner, G. A. (2012). Magma evolution in the primitive, intra-oceanic Tonga Arc: petrogenesis of basaltic andesites at Tofua volcano. Journal of Petrology 53, 1197–1230.",TOFUA,06TF70_cpx2_mia ,58.19,0.72,14.62,9.25,0.1,4.26,9.25,1.99,0.56,0.16,,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,97057/7_40,63.25,0.97,16.24,4.59,0.09,1.56,3.23,4.73,2.49,1.0,,,Glass
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB64_PB64M-1,45.67,0.95,17.94,10.16,0.16,6.48,11.92,2.78,0.68,0.1,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,Plate3-1-2010_Plate3-1-2010,54.05,1.69,13.53,10.78,0.2,4.43,7.42,2.89,1.06,0.35,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-42X-CC-27-29_118,65.03,0.63,15.3,3.56,0.06,1.3,4.42,4.2,1.33,0.04,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,KWB03-1_03-067-17.1,50.78,1.46,17.27,8.21,0.11,8.58,8.88,3.33,0.63,0.73,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,EB 06-1_Un  214  EB-1-10-2-1,42.46,2.47,16.4,9.92,0.1,11.35,8.2,2.82,2.34,0.75,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,bk4-2-1-2012_bk4-2-1-2012,52.06,0.84,16.71,9.49,0.17,5.12,9.07,3.65,0.44,0.14,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,CM02-2_03-013b-9.1,47.91,1.37,17.61,5.78,0.08,7.96,11.67,3.37,1.9,0.48,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_EB-1-9-5-1,41.86,2.84,15.5,9.26,0.08,11.26,11.65,4.0,2.12,0.82,,,Glass
"Rowe, Michael C. , David W. Peate, Ingrid Ukstins Peate; An Investigation into the Nature of the Magmatic Plumbing System at Paricutin Volcano, Mexico, Journal of Petrology, Volume 52, Issue 11, 1 November 2011, Pages 2187–2220, https://doi.org/10.1093/petrology/egr044",PARICUTIN,51-W-18 (116293-7)_7-1-3,52.63,1.28,20.38,7.88,0.1,5.46,7.2,3.94,1.24,0.38,,,Glass
Blundyetal2006,MT.ST.HELENS,SH80D_SH80D-2B,75.27,0.51,11.51,2.05,0.01,0.24,0.82,5.36,3.39,,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC07-5_RC-5-1-2-1,48.35,1.6,18.14,8.52,0.11,8.82,10.33,3.42,0.62,0.34,,,Glass
Hartleyetal2014,LAKI,MHL-18_32_1,50.6895,2.9883,14.5194,11.1207,0.0652,4.9339,11.7677,2.8772,0.4523,0.3338,0.0007,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,SEC09-1_SEC-1-4-6-1,48.16,1.67,17.68,8.33,0.09,8.28,10.18,3.02,1.19,0.54,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,EB06-2_EB-2-2-1,43.86,1.35,17.41,10.52,0.16,7.45,9.65,4.56,0.7,0.4,,,Glass
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-U2,49.5,2.5,18.1,5.72,0.06,1.24,7.95,6.84,3.13,0.72,,,Glass
"Schiavi, F., Kobayashi, K., Nakamura, E., Tiepolo, M. and Vannucci, R., 2012. Trace element and Pb–B–Li isotope systematics of olivine-hosted melt inclusions: insights into source metasomatism beneath Stromboli (southern Italy). Contributions to Mineralogy and Petrology, 163(6), pp.1011-1031.",STROMBOLI,ST531_MI4A,46.62,0.84,14.43,6.53,0.16,5.34,14.87,2.24,1.75,,,,Glass
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-331A_8LM-331A_A18b,52.7,1.25,16.02,10.59,0.2,4.95,9.89,3.22,0.72,,,,Glass
"Schiavi, F., Rosciglione, A., Kitagawa, H., Kobayashi, K., Nakamura, E., Nuccio, P.M., Ottolini, L., Paonita, A. and Vannucci, R., 2015. Geochemical heterogeneities in magma beneath Mount Etna recorded by 2001–2006 melt inclusions. Geochemistry, Geophysics, Geosystems, 16(7), pp.2109-2126.",ETNA,2001 LOWER VENT_CPX8 MIC,50.4,1.98,15.94,7.41,0.17,4.19,8.59,3.85,1.61,0.62,,,Glass
"Robidoux, P., Rotolo, S.G., Aiuppa, A., Lanzo, G. and Hauri, E.H., 2017. Geochemistry and volatile content of magmas feeding explosive eruptions at Telica volcano (Nicaragua). Journal of Volcanology and Geothermal Research, 341, pp.131-148.",TELICA,TEL04K_22B,56.74,0.7,14.1,8.72,0.21,3.25,5.77,3.09,2.17,0.26,0.02,0.05,Glass
"Keith, M., Haase, K.M., Klemd, R., Smith, D.J., Schwarz-Schampera, U. and Bach, W., 2018. Constraints on the source of Cu in a submarine magmatic-hydrothermal system, Brothers volcano, Kermadec island arc. Contributions to Mineralogy and Petrology, 173(5), p.40.",BROTHERS,66DR-1_,72.52,0.86,12.52,4.14,0.18,1.06,1.93,3.94,2.92,0.08,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,SPV-1_SPV-1-1-2-1,46.81,3.16,16.19,6.99,0.09,8.24,13.56,2.91,1.4,0.4,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-21X-2-84-86_52,49.39,0.8,14.4,10.57,0.17,6.5,11.26,1.89,0.19,0.13,,,Glass
"Walowski, K.J., Wallace, P.J., Clynne, M.A., Rasmussen, D.J. and Weis, D., 2016. Slab melting and magma formation beneath the southern Cascade arc. Earth and Planetary Science Letters, 446, pp.100-112.",LASSEN REGION,BPPC_10,49.98,0.8,16.76,6.79,0.11,7.36,11.19,2.73,0.31,0.19,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR96BV_KR96BV-56,56.02,1.47,15.61,10.19,0.2,2.85,7.05,3.6,1.16,0.25,,,Glass
"Keith, M., Haase, K.M., Klemd, R., Smith, D.J., Schwarz-Schampera, U. and Bach, W., 2018. Constraints on the source of Cu in a submarine magmatic-hydrothermal system, Brothers volcano, Kermadec island arc. Contributions to Mineralogy and Petrology, 173(5), p.40.",BROTHERS,65DR-1_,67.57,1.24,12.22,4.84,0.16,1.47,3.24,4.4,2.09,0.39,,,Glass
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_E7,53.98,1.28,16.14,9.98,0.2,4.97,9.24,3.0,0.82,,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_E38R4-2-MI3 ,55.23,0.76,14.57,7.53,0.15,4.48,8.61,2.73,0.76,0.18,,,Glass
"Walowski, K.J., Wallace, P.J., Clynne, M.A., Rasmussen, D.J. and Weis, D., 2016. Slab melting and magma formation beneath the southern Cascade arc. Earth and Planetary Science Letters, 446, pp.100-112.",LASSEN REGION,BRVB_11,47.88,1.36,16.76,8.46,0.13,6.5,9.34,3.64,1.05,0.28,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,8LM-331A_A18c_8LM-331A_A18c,52.61,1.23,15.95,10.4,0.21,5.12,9.62,3.75,0.68,0.04,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,BN1997-98_F7a,44.42,1.55,17.87,9.42,0.13,4.06,12.09,4.24,2.77,0.76,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,CC02-1_03-015-78.2,50.97,1.07,17.95,8.11,0.15,8.46,9.57,3.36,0.69,0.21,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,ZB06-2_ZB-1-3-2,51.2,1.22,14.72,9.92,0.15,7.78,9.46,3.25,0.55,0.2,,,Glass
Blundyetal2006,MT.ST.HELENS,USNM 115418-42_418-42-c10-1,74.29,0.48,11.12,3.03,0.04,0.6,0.9,4.38,2.76,0.05,,,Glass
"Wehrmann, H., Hoernle, K., Jacques, G., Garbe-Schönberg, D., Schumann, K., Mahlke, J. and Lara, L.E., 2014. Volatile (sulphur and chlorine), major, and trace element geochemistry of mafic to intermediate tephras from the Chilean Southern Volcanic Zone (33–43 S). International Journal of Earth Sciences, 103(7), pp.1945-1962.",CERRO AZUL,CL189_CL189INC100,52.57,0.82,18.66,7.02,0.11,4.27,11.78,3.54,1.04,0.19,,,Glass
"Tolstykh, M.L., Naumov, V.B., Gavrilenko, M.G., Ozerov, A.Y. and Kononkova, N.N., 2012. Chemical composition, volatile components, and trace elements in the melts of the Gorely volcanic center, southern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 50(6), pp.522-550.",GORELY,GOR-46_21,60.62,1.16,16.25,6.84,0.1,1.7,5.15,3.35,3.22,,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",EMMONS,F(SW)-1_cpx4mi1,61.15,0.94,15.48,6.52,0.18,1.77,4.54,4.13,2.12,0.32,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",SARIGAN,04 Sari-15-02_Sari-15-03_3B,49.24,0.79,18.32,7.42,0.14,3.52,14.62,1.11,0.24,0.04,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,ZB06-2_ZB-1-11-4,49.89,1.58,15.77,10.81,0.14,8.0,9.45,3.0,0.57,0.21,,,Glass
"Özdemir, Y., Blundy, J. and Güleç, N., 2011. The importance of fractional crystallization and magma mixing in controlling chemical differentiation at Süphan stratovolcano, eastern Anatolia, Turkey. Contributions to Mineralogy and Petrology, 162(3), pp.573-597.",SUPHAN,200677_5_77OP1,66.6,0.68,16.4,2.0,,0.15,2.62,4.78,4.27,0.16,,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,97051/15_58,70.65,0.1,13.1,0.93,0.02,0.35,1.2,3.17,3.11,,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-41X-2-53-55_112,62.03,0.73,14.8,5.17,0.17,1.6,4.3,4.0,1.13,0.26,,,Glass
"Field, L., Blundy, J., Brooker, R.A., Wright, T. and Yirgu, G., 2012. Magma storage conditions beneath Dabbahu Volcano (Ethiopia) constrained by petrology, seismicity and satellite geodesy. Bulletin of Volcanology, 74(5), pp.981-1004.",DABBAHU,55_055 w,70.13,0.41,7.76,5.6,0.21,,0.15,5.53,4.37,,,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Astroni 1_CF69_cpx_66_mi_2,56.47,0.5,17.96,3.63,0.08,0.59,2.48,3.87,8.89,0.14,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,CC02-1_03-015-77.1,51.06,1.03,17.34,7.29,0.13,9.41,10.1,3.16,0.59,0.17,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",IZU-TORISHIMA,616-R05 Izx_616-R05mi2a ,48.93,0.64,17.12,7.77,0.17,6.48,12.77,1.85,0.09,0.06,,,Glass
"Walowski, K.J., Wallace, P.J., Clynne, M.A., Rasmussen, D.J. and Weis, D., 2016. Slab melting and magma formation beneath the southern Cascade arc. Earth and Planetary Science Letters, 446, pp.100-112.",LASSEN REGION,BORG_AA4,49.33,0.89,18.73,7.42,0.13,6.34,9.12,3.36,0.57,0.11,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.", WEST SUIYO VOLCANIC CHAIN,668-R02 Izx_668-R02mi46 ,52.92,1.05,16.37,10.12,0.2,4.05,9.03,2.96,0.52,0.17,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-2H-4-113-114_3,70.86,0.58,12.1,3.64,0.06,0.57,2.62,3.84,1.23,0.08,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,blk8-MI-4-2011_blk8-MI-4-2011,50.33,1.11,17.23,10.4,0.18,4.58,9.71,3.1,0.49,0.19,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_ONk1-10,56.22,0.12,10.91,5.94,0.09,10.52,9.98,1.85,0.36,,0.7,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,609/11_19,72.7,0.26,13.19,1.36,0.04,0.4,1.31,3.9,2.33,,,,Glass
Hartleyetal2014,LAKI,MHL-07_20_2,49.0895,3.0514,13.1375,14.1018,0.2162,5.792,9.7964,3.0437,0.5918,0.3353,0.0339,0.0292,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-27X-2-30-32_72,62.1,0.53,13.6,4.88,0.15,1.31,4.27,3.39,0.82,0.07,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_CHu1-23,53.89,0.08,8.77,7.95,0.17,13.9,6.27,1.15,0.41,,1.3,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Astroni 1_CF69_cpx_23_mi_1,58.27,0.44,17.97,3.44,0.14,0.47,2.17,4.38,8.34,0.12,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",SEGUAM,SEG0708_cpx1mi1 ,48.4,0.02,32.58,0.8,0.06,0.13,15.4,2.73,0.06,0.03,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,BN1997-98_pt35 inc,49.5,2.48,16.13,10.51,0.24,2.32,8.89,5.38,2.65,0.77,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",SEGUAM,SEG0706_ol6mi1 ,52.51,0.79,18.49,7.86,0.17,3.38,10.0,2.82,0.53,0.12,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",SHISHALDIN,97SPS31C_ol16mi1,52.58,2.27,14.87,11.59,0.23,3.2,8.55,3.26,0.96,0.73,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",PAGAN,AS03-PAGAN-5_PAGAN5-2_115 ,51.44,1.18,13.37,12.58,0.28,5.1,9.14,2.68,1.01,0.2,,,Glass
Hartleyetal2018,HOLUHRAUN,3-JAS-2-MI1,49.57,1.68,14.89,12.09,0.19,6.79,11.55,1.96,0.15,0.12,0.01,,Glass
"Fourmentraux, C., Métrich, N., Bertagnini, A. and Rosi, M., 2012. Crystal fractionation, magma step ascent, and syn-eruptive mingling: the Averno 2 eruption (Phlegraean Fields, Italy). Contributions to Mineralogy and Petrology, 163(6), pp.1121-1137.",CAMPI FLEGREI,A2B_MI-13b,59.24,0.49,17.93,2.91,0.16,0.17,1.53,5.32,7.69,0.06,,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,735-2a_22,60.49,1.13,17.39,5.66,0.12,1.92,3.75,2.94,2.45,0.4,,,Glass
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,R2_1-2,70.09,0.27,13.6,2.15,0.01,0.31,1.4,4.36,3.26,,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_AMm1-6,53.37,0.07,7.73,7.57,0.17,17.28,5.6,0.97,0.39,,0.4,,Glass
"Schiavi, F., Rosciglione, A., Kitagawa, H., Kobayashi, K., Nakamura, E., Nuccio, P.M., Ottolini, L., Paonita, A. and Vannucci, R., 2015. Geochemical heterogeneities in magma beneath Mount Etna recorded by 2001–2006 melt inclusions. Geochemistry, Geophysics, Geosystems, 16(7), pp.2109-2126.",ETNA,2001 Lower Vents_MI1,49.92,1.64,17.45,11.02,0.23,3.23,8.01,5.01,3.08,1.2,,,Glass
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",PAGAN,PB64_PB64C,49.36,0.81,15.06,12.27,0.15,5.26,10.0,2.81,0.7,0.04,,,Glass
"Kelley, K.A., Plank, T., Newman, S., Stolper, E.M., Grove, T.L., Parman, S. and Hauri, E.H., 2010. Mantle melting as a function of water content beneath the Mariana Arc. Journal of Petrology, 51(8), pp.1711-1738.",GUGUAN,GUG 79-1_GugXb,49.97,0.76,16.58,9.67,0.16,5.5,10.26,2.38,0.43,0.08,,,Glass
"Field, L., Blundy, J., Brooker, R.A., Wright, T. and Yirgu, G., 2012. Magma storage conditions beneath Dabbahu Volcano (Ethiopia) constrained by petrology, seismicity and satellite geodesy. Bulletin of Volcanology, 74(5), pp.981-1004.",DABBAHU,55_055 an1,71.42,0.37,8.45,5.82,0.1,,0.26,5.44,4.28,,,,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Caulfield, J. T., Turner, S. P., Smith, I. E. M., Cooper, L. B. & Jenner, G. A. (2012). Magma evolution in the primitive, intra-oceanic Tonga Arc: petrogenesis of basaltic andesites at Tofua volcano. Journal of Petrology 53, 1197–1230.",TOFUA,TF1062_plag10_mia ,54.29,0.68,14.93,10.33,0.19,5.42,9.88,1.76,0.36,0.06,,,Glass
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-331A_8LM-331A_B15,54.66,1.61,14.76,10.87,0.23,3.31,10.08,3.23,0.7,0.0,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",MARIANA TROUGH,ALV-1846-9_ALV1846-9_60,49.88,0.6,17.7,7.34,0.13,5.51,14.63,2.2,0.72,0.14,,,Glass
"Rasmussen, D.J., Plank, T.A., Roman, D.C., Power, J.A., Bodnar, R.J. and Hauri, E.H., 2018. When does eruption run-up begin? Multidisciplinary insight from the 1999 eruption of Shishaldin volcano. Earth and Planetary Science Letters, 486, pp.1-14.",SHISHALDIN,SH63DJR15_SH63MI21,52.16,3.13,13.94,14.06,0.3,2.81,8.88,3.33,1.22,0.59,,,Glass
