Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Ruscitto, D.M., Wallace, P.J. and Kent, A.J.R., 2011. Revisiting the compositions and volatile contents of olivine-hosted melt inclusions from the Mount Shasta region: implications for the formation of high-Mg andesites. Contributions to Mineralogy and Petrology, 162(1), pp.109-132.",MT. SHASTA-WHALEBACK,MS-1304_2MS-1304A,53.0,0.77,16.95,3.55,0.07,4.69,14.1,2.88,0.34,0.4,,,Glass
"Head, E.M., Shaw, A.M., Wallace, P.J., Sims, K.W. and Carn, S.A., 2011. Insight into volatile behavior at Nyamuragira volcano (DR Congo, Africa) through olivine?hosted melt inclusions. Geochemistry, Geophysics, Geosystems, 12(10).",NYAMURAGIRA,NYA-0701_FTIR-CA,44.93,3.69,15.42,8.67,0.19,6.22,13.06,2.74,2.26,0.47,,,Glass
Hartleyetal2014,LAKI,MHL-18_53_3,49.5972,3.2109,14.1727,12.3222,0.1068,4.9478,10.7309,3.0613,0.5862,0.3646,0.0215,,Glass
"Rowe, Michael C. , David W. Peate, Ingrid Ukstins Peate; An Investigation into the Nature of the Magmatic Plumbing System at Paricutin Volcano, Mexico, Journal of Petrology, Volume 52, Issue 11, 1 November 2011, Pages 2187–2220, https://doi.org/10.1093/petrology/egr044",PARICUTIN,FP-16-52 (116289-19)_19-O-4-3,60.4,0.93,19.05,4.2,0.07,2.37,6.11,4.75,2.16,0.29,,,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Caulfield, J. T., Turner, S. P., Smith, I. E. M., Cooper, L. B. & Jenner, G. A. (2012). Magma evolution in the primitive, intra-oceanic Tonga Arc: petrogenesis of basaltic andesites at Tofua volcano. Journal of Petrology 53, 1197–1230.",TOFUA,06TF70_cpx11_mia,51.09,0.3,13.3,9.58,0.19,7.97,11.45,0.9,0.21,0.04,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",HOREKI SEAMOUNT,H343-R15 Izx_343-R15mi16 ,48.2,0.9,19.67,4.86,0.1,2.99,13.74,2.41,1.05,0.31,,,Glass
"Johnson, E.R., Wallace, P.J., Delgado Granados, H., Manea, V.C., Kent, A.J., Bindeman, I.N. and Donegan, C.S., 2009. Subduction-related volatile recycling and magma generation beneath Central Mexico: insights from melt inclusions, oxygen isotopes and geodynamic models. Journal of Petrology, 50(9), pp.1729-1764.",SAN MIGUEL,CSM-A_8_,54.71,1.07,15.01,9.55,0.19,3.98,6.07,3.61,1.17,0.22,,,Glass
"Iddon, F. and Edmonds, M., 2020. Volatile?rich magmas distributed through the upper crust in the Main Ethiopian Rift. Geochemistry, Geophysics, Geosystems, 21(6), p.e2019GC008904.",KONE,MER136A_MI114,47.42,2.71,15.68,11.57,0.24,4.76,10.59,3.9,1.4,0.66,,,Glass
"Robidoux, P., Rotolo, S.G., Aiuppa, A., Lanzo, G. and Hauri, E.H., 2017. Geochemistry and volatile content of magmas feeding explosive eruptions at Telica volcano (Nicaragua). Journal of Volcanology and Geothermal Research, 341, pp.131-148.",TELICA,TEL04B_5A,46.24,0.67,17.02,9.82,0.17,5.95,11.8,2.02,0.27,0.08,,,Glass
Hartleyetal2014,LAKI,MHL-13_11_4,49.1042,2.6037,15.0862,10.513,0.2042,4.7663,12.9509,2.5823,0.3344,0.2972,0.002,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",MAUG,04 MAUG-5_MAUG05rh_83,46.29,1.0,14.2,18.61,0.33,6.81,9.93,2.24,0.37,0.15,,,Glass
"Berlo, K., Stix, J., Roggensack, K. and Ghaleb, B., 2012. A tale of two magmas, Fuego, Guatemala. Bulletin of volcanology, 74(2), pp.377-390.",FUEGO,1999-9-37_9-37,55.57,1.33,16.31,10.06,0.21,2.03,7.58,4.91,1.33,0.25,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-35X-6-142-144_102,70.25,0.21,13.2,2.08,0.06,0.35,1.96,3.56,2.53,0.05,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,blk13-MI-1-2011_blk13-MI-1-2011,51.23,1.09,17.08,9.68,0.2,5.13,9.31,3.25,0.59,0.19,,,Glass
