,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral
43147,CN92C_Ol2,39.089175,0.01431,0.003985,18.856835,0.270795,41.358140000000006,0.18247,,0.019235,0.036115,,Olivine
43148,CN92C_Ol2_MI2,38.97789,0.02304,0.01,19.20144,0.22245,40.86667,0.18612,,0.00674,0.00636,,Olivine
43149,CN92C_Ol2_MI3,38.97789,0.02304,0.01,19.20144,0.22245,40.86667,0.18612,,0.00674,0.00636,,Olivine
43150,CN92F_Ol5,37.758995,0.004115,0.078815,25.608975,0.465175,35.85284,0.216445,,0.00189,0.017745,,Olivine
43151,CN92F_Ol6,38.534865,0.010335,2e-05,23.193925,0.426365,37.764489999999995,0.210195,,0.001915,0.022095,,Olivine
43152,CN92F_Ol9,38.643015000000005,2e-05,0.0201049999999999,20.998785,0.3374399999999999,39.943535,0.198175,,0.00859,0.013685,,Olivine
43153,CN92F_Ol10,37.825190000000006,0.01986,0.0413899999999999,25.27505,0.418315,35.980599999999995,0.19855,,0.000945,0.0197999999999999,,Olivine
43154,CN92F_Ol10_MI2,37.67627,0.03323,0.04506,25.37596,0.445755,36.142945,0.21371,,0.000475,0.0145899999999999,,Olivine
43155,CN92F_Ol14,38.20009,0.0062699999999999,1e-05,23.737025,0.39316,37.619365,0.210345,,0.0127999999999999,0.02719,,Olivine
43156,CN92F_Ol16,37.933679999999995,0.0085449999999999,0.12728,23.927795,0.440125,37.685305,0.215565,,0.014215,1e-05,,Olivine
43157,CN92F_Ol17,37.619625,0.01227,0.0007,25.19138,0.515415,36.393055,0.209415,,1e-05,0.0282299999999999,,Olivine
43158,CN92F_Ol22,39.28004,2e-05,2e-05,18.6271,0.323435,41.46274,0.208965,,0.0182,0.020065,,Olivine
43159,AC4_EUH94_recon,38.20453,0.014992,0.007525,24.61217,0.42913,36.85427,0.137802,,,0.005662,0.000506,Olivine
43160,AC4_EUH94_recon,37.93772,0.015358,0.007733,24.52872,0.417052,37.40082,0.133534,,,0.006827,1.5e-05,Olivine
43161,AC4_EUH94_recon,37.81292,0.015669,0.00719,24.17429,0.40014,37.48226,0.138983,,,0.00765,0.002352,Olivine
43162,AC4_EUH95_recon,36.98344,0.024666,0.0081,25.39666,0.492764,36.63052,0.155442,,,0.012964,1.5e-05,Olivine
43163,AC4_EUH95_recon,37.34448,0.019996,0.009435,25.50101,0.482207,36.58997,0.140938,,,0.010872,0.007594,Olivine
43164,AC4_EUH95_recon,37.13816,0.016828,0.008125,25.29901,0.461927,36.77282,0.142174,,,0.018874,1.5e-05,Olivine
43165,AC4_EUH95_recon,37.38768,0.020242,0.010296,25.10696,0.443605,36.97212,0.140913,,,0.012984,1.5e-05,Olivine
43166,AC4_EUH96_recon,38.40044,0.015671,0.007829,25.32919,0.489577,34.78229,0.14907,,,0.005835,8e-05,Olivine
43167,AC4_EUH96_recon,38.282,0.014797,0.005478,25.78025,0.470058,35.54544,0.138559,,,0.005517,0.001492,Olivine
43168,AC4_EUH96_recon,38.01235,0.017,0.007716,25.20161,0.450229,35.68485,0.130808,,,0.006713,1.5e-05,Olivine
43169,AC4_EUH97_recon,36.6701,0.043756,0.995038,28.05329,0.617004,33.70561,0.480241,,,0.041349,0.004268,Olivine
43170,AC4_EUH97_recon,37.37247,0.018519,0.006502,25.79502,0.499476,36.38222,0.156217,,,0.01224,1.5e-05,Olivine
43171,AC4_EUH97_recon,37.66367,0.016698,0.0061,25.91076,0.491624,36.36778,0.148442,,,0.014134,0.00571,Olivine
43172,AC4_EUH97_recon,37.3529,0.017569,0.006047,26.0258,0.488312,36.30373,0.145923,,,0.005732,1.5e-05,Olivine
