,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,ZrO2,Mineral,Source
780,Grt1_503,41.17,0.0,20.23,7.95,0.48,19.87,4.19,0.0,,,4.47,,Garnet,Karginetal2016
781,Grt1_503,41.33,0.07,20.06,7.91,0.51,19.93,4.24,0.0,,,4.57,,Garnet,Karginetal2016
782,Grt1_508,41.14288,0.0,20.30018,8.416109005099264,0.5007356,18.72677,5.833868,0.0,,,4.241869,,Garnet,Karginetal2016
783,Grt1_508,40.8475,0.0,19.70774,8.705048313440695,0.3968641,18.2014,6.205826,0.0,,,4.868659,,Garnet,Karginetal2016
784,Grt1_508,40.67751,0.0,19.82537,8.786784608587487,0.5909145,17.92959,6.046395,0.1305223,,,4.507897,,Garnet,Karginetal2016
785,Grt1_508,41.08751,0.0,19.99677,8.665909794919905,0.4256009,18.43045,6.049903,0.1218233,,,4.510506,,Garnet,Karginetal2016
786,Grt1_508,40.88085,0.09995788,19.75868,8.49568127868644,0.4822514,18.29941,6.141971,0.0,,,4.781261,,Garnet,Karginetal2016
787,Grt1_508,41.21798,0.0,19.91981,8.555026725332407,0.4081536,18.33118,6.309853,0.1323691,,,4.851593,,Garnet,Karginetal2016
788,Grt1_508,41.32765,0.0,20.10176,8.755894145733441,0.6513846,18.03576,6.207838,0.0,,,4.779729,,Garnet,Karginetal2016
789,Grt2_508,41.41749,0.0,20.40817,9.078018286427207,0.5464801,18.59891,5.697447,0.0,,,3.817206,,Garnet,Karginetal2016
790,Grt2_508,41.43782,0.0,20.85869,8.906701395431767,0.5852855,18.82019,5.674374,0.1321245,,,3.616365,,Garnet,Karginetal2016
791,Grt2_508,41.05703,0.0,20.58625,8.520226753268952,0.5438336,18.76676,5.660985,0.1194675,,,3.812032,,Garnet,Karginetal2016
792,Grt2_508,41.375,0.0,21.25116,9.113321928139587,0.4929622,18.89399,5.642616,0.1510311,,,3.115326,,Garnet,Karginetal2016
793,Grt2_508,41.20589,0.0,20.76483,9.170443279720528,0.5661715,18.67738,5.521972,0.0,,,3.767284,,Garnet,Karginetal2016
794,Grt1_698,41.13,0.13,20.2,7.949936524318661,0.47,19.93,4.67,0.0,,,4.41,,Garnet,Karginetal2016
795,Grt1_698,41.23,0.16,19.81,7.979957499922799,0.44,19.83,4.76,0.0,,,5.04,,Garnet,Karginetal2016
796,Grt1_698,41.48,0.17,19.87,7.949968381277225,0.46,19.94,4.77,0.0,,,5.0,,Garnet,Karginetal2016
797,Grt1_698,41.68,0.15,20.17,8.019924623016596,0.43,20.23,4.85,0.0,,,4.9,,Garnet,Karginetal2016
798,Grt1_698,41.34,0.16,20.45,8.049936882432444,0.43,20.18,4.49,0.0,,,4.33,,Garnet,Karginetal2016
799,Grt1_698,41.34,0.18,20.33,8.029929500399524,0.48,20.2,4.51,0.0,,,4.32,,Garnet,Karginetal2016
800,,0.396,0.026,0.218,86.97928381122826,,0.016,0.096,,0.003,0.145,,,Hematite,deSouzaetal2019
801,,0.519,0.063,0.415,87.03727799963416,,,0.084,0.041,0.011,0.143,,,Hematite,deSouzaetal2019
802,,0.395,0.071,0.757,86.37434443216686,0.031,0.013,0.109,,0.002,0.176,,,Hematite,deSouzaetal2019
803,,0.378,0.151,0.35,86.85629613581578,,0.01,0.102,,0.007,0.109,,,Hematite,deSouzaetal2019
804,,0.42,0.028,0.324,87.15726597564633,,0.011,0.131,,0.004,0.104,,,Hematite,deSouzaetal2019
805,,0.325,0.049,0.281,86.55832599538553,0.037,0.029,0.192,,0.017,0.149,,,Hematite,deSouzaetal2019
806,,0.487,0.073,0.292,86.34934693716433,0.002,0.006,0.236,0.003,0.017,0.18,,,Hematite,deSouzaetal2019
807,,1.809,0.029,0.366,85.98838310932769,0.046,0.031,0.273,,0.013,0.124,,,Hematite,deSouzaetal2019
808,,0.434,,0.402,86.82829894141295,0.028,0.025,0.163,,0.003,0.109,,,Hematite,deSouzaetal2019
809,,0.493,0.098,0.667,86.22535936195175,0.049,0.001,0.131,0.014,0.02,0.086,,,Hematite,deSouzaetal2019
810,,1.497,0.059,0.29,85.50543150587868,0.037,0.018,0.235,,0.007,0.098,,,Hematite,deSouzaetal2019
811,,0.782,0.028,0.302,86.80430134621051,,0.01,0.08,,0.005,0.101,,,Hematite,deSouzaetal2019
812,,0.267,0.017,0.176,87.65921567529728,,,0.038,,0.006,0.122,,,Hematite,deSouzaetal2019
813,,0.245,,0.385,87.69321226850073,0.032,0.007,0.093,,0.017,0.08,,,Hematite,deSouzaetal2019
814,,0.273,0.033,0.422,87.97118441292895,0.01,0.017,0.067,,0.024,0.104,,,Hematite,deSouzaetal2019
815,,0.371,,0.216,86.04737719753368,0.054,,0.383,0.023,0.018,0.166,,,Hematite,deSouzaetal2019
816,,0.346,0.007,0.455,85.3294491410608,0.054,0.013,0.589,0.003,0.017,0.159,,,Hematite,deSouzaetal2019
817,,0.294,0.04,0.126,85.67941407109633,,0.173,0.938,,0.008,0.166,,,Hematite,deSouzaetal2019
818,,0.273,,0.158,88.76910445340994,,0.002,0.058,,,0.051,,,Hematite,deSouzaetal2019
819,,1.53,0.057,0.24,87.14426727824502,0.02,0.019,0.025,,0.014,0.046,,,Hematite,deSouzaetal2019
820,,0.519,0.04,0.173,87.6102205850923,0.011,0.029,0.075,,0.004,0.116,,,Hematite,deSouzaetal2019
821,,1.948,0.039,0.064,87.3932423284703,0.04,,0.155,,0.007,0.105,,,Hematite,deSouzaetal2019
822,,0.385,0.014,0.103,87.58722288968997,,0.022,0.264,0.006,0.011,0.159,,,Hematite,deSouzaetal2019
823,,0.82,0.058,0.075,83.902592126316,0.039,0.41,1.62,,0.004,0.157,,,Hematite,deSouzaetal2019
824,,0.46,0.046,0.147,87.78420315030998,,0.016,0.28,,0.014,0.135,,,Hematite,deSouzaetal2019
825,,0.393,,0.211,86.99928180723029,,,0.096,0.049,0.006,0.137,,,Hematite,deSouzaetal2019
826,,0.357,0.02,0.106,87.76120545490762,,0.007,0.265,,0.003,0.147,,,Hematite,deSouzaetal2019
827,,0.321,0.031,0.035,88.58912248939166,,,0.181,,0.005,0.164,,,Hematite,deSouzaetal2019
828,,1.278,0.016,0.068,87.35124653686603,,,0.174,,0.007,0.189,,,Hematite,deSouzaetal2019
829,,0.417,0.051,0.085,88.18816266955096,0.03,0.01,0.123,,0.004,0.132,,,Hematite,deSouzaetal2019
830,,0.311,,0.213,87.43823781947486,0.059,0.041,0.228,,,0.127,,,Hematite,deSouzaetal2019
831,,0.581,0.028,0.089,87.52822880148399,,0.016,0.12,,0.006,0.176,,,Hematite,deSouzaetal2019
832,,0.429,0.009,0.056,86.92228952262248,0.026,,0.118,0.037,,0.161,,,Hematite,deSouzaetal2019
833,,0.372,0.011,0.1,87.96218531472803,0.044,,0.119,0.017,0.019,0.165,,,Hematite,deSouzaetal2019
834,,0.669,0.076,0.147,87.69621196790104,0.045,0.028,0.311,0.003,0.005,0.186,,,Hematite,deSouzaetal2019
835,,0.379,0.053,0.137,86.99728200763009,0.047,0.014,0.235,,,0.134,,,Hematite,deSouzaetal2019
836,,0.339,0.026,0.105,86.74730705760473,0.041,0.034,0.385,0.04,0.001,0.154,,,Hematite,deSouzaetal2019
837,,0.396,0.076,0.167,87.09127258883963,0.04,0.01,0.208,,0.013,0.134,,,Hematite,deSouzaetal2019
838,,0.375,0.103,0.093,87.538227799485,0.047,0.027,0.282,0.012,0.001,0.176,,,Hematite,deSouzaetal2019
839,,0.622,,0.074,87.43123852087415,0.056,,0.084,,0.014,0.073,,,Hematite,deSouzaetal2019
840,,0.914,0.04,0.059,88.15616587594772,,,0.096,,0.006,0.07,,,Hematite,deSouzaetal2019
841,,0.79,0.017,0.071,87.75820575550733,,,0.074,,0.008,0.066,,,Hematite,deSouzaetal2019
842,,0.272,0.02,0.099,88.04817669753676,0.006,,0.045,,0.003,0.039,,,Hematite,deSouzaetal2019
843,,0.49,0.01,0.124,88.01518000413341,,,0.035,,0.015,0.001,,,Hematite,deSouzaetal2019
844,,0.317,0.029,0.13,87.735208060105,,,0.041,,0.002,0.036,,,Hematite,deSouzaetal2019
845,,0.241,,0.117,88.22615886195481,,,0.012,,0.01,0.037,,,Hematite,deSouzaetal2019
846,,0.303,,0.149,87.89319222852103,0.008,,0.04,,0.002,0.01,,,Hematite,deSouzaetal2019
847,,0.322,0.009,0.115,88.30715074576304,0.026,,0.043,,0.005,0.055,,,Hematite,deSouzaetal2019
848,,0.269,0.04,0.079,87.90119142692184,0.001,,0.099,,,0.059,,,Hematite,deSouzaetal2019
849,,1.089,0.351,0.364,86.44433741817399,0.031,0.003,0.026,,0.023,0.017,,,Hematite,deSouzaetal2019
850,,1.29,0.367,0.478,86.34434743816381,0.069,0.02,0.033,,0.026,0.009,,,Hematite,deSouzaetal2019
851,,0.577,0.037,0.115,87.83519804011513,0.042,0.014,0.116,,0.004,0.161,,,Hematite,deSouzaetal2019
852,,0.361,0.062,0.191,88.2781536515601,0.04,,0.021,,0.012,0.053,,,Hematite,deSouzaetal2019
853,,0.667,0.015,0.061,87.46023561507708,0.04,,0.208,,0.005,0.205,,,Hematite,deSouzaetal2019
854,,0.691,0.029,0.108,87.56622499388784,0.02,0.001,0.168,0.022,0.003,0.169,,,Hematite,deSouzaetal2019
855,,0.902,0.012,0.18,86.98028371102836,,0.009,0.173,0.007,0.011,0.211,,,Hematite,deSouzaetal2019
856,,0.527,0.001,0.098,87.61522008409281,0.053,,0.085,0.016,0.009,0.188,,,Hematite,deSouzaetal2019
857,,0.633,0.02,0.052,87.84319723851596,0.049,0.002,0.136,,,0.175,,,Hematite,deSouzaetal2019
858,,0.683,0.034,0.149,88.28615284996091,0.008,0.034,0.121,,0.014,0.094,,,Hematite,deSouzaetal2019
859,,1.09,0.052,0.114,87.52122950288327,0.025,,0.083,,,0.1,,,Hematite,deSouzaetal2019
860,,0.627,0.053,0.127,87.16626507384724,,,0.182,,0.008,0.219,,,Hematite,deSouzaetal2019
861,,0.475,0.038,0.086,87.88319323052,0.031,0.011,0.217,,0.002,0.215,,,Hematite,deSouzaetal2019
862,,0.563,0.033,0.057,87.27525415205831,,0.005,0.152,0.001,0.009,0.23,,,Hematite,deSouzaetal2019
863,,0.817,0.077,0.186,87.2692547532577,0.029,0.033,0.184,,0.003,0.117,,,Hematite,deSouzaetal2019
864,,0.317,0.05,0.141,88.59912148739268,,,0.084,,0.006,0.172,,,Hematite,deSouzaetal2019
865,,0.6,0.043,0.155,88.17016447314914,0.008,,0.077,,0.01,0.167,,,Hematite,deSouzaetal2019
866,,0.516,0.042,0.126,87.93318822052508,,0.008,0.102,,,0.14,,,Hematite,deSouzaetal2019
867,,0.406,0.007,0.164,87.42223942267323,,0.025,0.19,,0.006,0.181,,,Hematite,deSouzaetal2019
868,,0.434,0.018,0.125,87.88219333071991,0.004,,0.136,,0.006,0.166,,,Hematite,deSouzaetal2019
869,,0.38,0.044,0.263,87.5342282002846,0.005,,0.092,,,0.065,,,Hematite,deSouzaetal2019
870,,0.445,,0.315,88.02717880173464,0.015,0.009,0.11,,,0.134,,,Hematite,deSouzaetal2019
871,,0.658,0.026,0.219,88.2221592627544,0.003,0.016,0.135,,0.009,0.124,,,Hematite,deSouzaetal2019
872,,0.3,0.032,0.103,88.79510184821257,0.03,,0.11,,0.006,0.119,,,Hematite,deSouzaetal2019
873,,0.34,0.01,0.105,87.58322329048956,,0.011,0.099,,0.009,0.16,,,Hematite,deSouzaetal2019
874,,0.514,0.115,0.336,88.17216427274934,0.025,0.01,0.063,,,0.068,,,Hematite,deSouzaetal2019
875,,1.888,0.036,0.042,86.4563362157752,,,0.161,,0.004,0.125,,,Hematite,deSouzaetal2019
876,,1.511,0.022,0.147,87.12626908184319,0.034,,0.037,,0.014,0.017,,,Hematite,deSouzaetal2019
877,,0.667,,0.5,87.37024463306795,0.693,,0.085,,,0.052,,,Hematite,Baidyaetal2019
878,,0.058,,0.151,90.92088882322837,,,,,,0.12,,,Hematite,Baidyaetal2019
879,,1.186,,0.73,87.51123050488225,,,0.08,,,0.461,,,Hematite,Baidyaetal2019
880,,0.7460028748286484,0.0164304922210052,0.0042216018225566,87.20242536649474,0.0206836479129743,0.4206619988127076,0.0055828341234592,,,,0.1443949844535043,,Hematite,FalkandKelemen2015
881,,0.6373800000000001,0.00207,2e-05,87.2782138554666,0.0824,0.527815,0.017955,,,,0.017795,,Hematite,FalkandKelemen2015
882,,0.45921,2e-05,2e-05,89.50880032853101,0.09646,0.28245,1e-05,,,,0.01043,,Hematite,FalkandKelemen2015
883,,2.17022125,0.0031149999999999,2e-05,85.30256558506034,0.0741875,0.7296675,0.019145,,,,0.0151462499999999,,Hematite,FalkandKelemen2015
884,,0.705373125,0.00661125,2e-05,88.06870214068334,0.0865837499999999,0.4375125,0.023111875,,,,0.1453256249999999,,Hematite,FalkandKelemen2015
885,,0.7877791666666666,0.0050708333333333,0.0078041666666666,87.96989870843599,0.16687,0.8687133333333334,0.0178941666666666,,,,0.0152166666666666,,Hematite,FalkandKelemen2015
886,,0.098,0.561,0.11,88.49913150738253,0.099,,,,,,,,Hematite,Yanetal2023
887,,0.129,0.266,0.057,89.11306998464484,0.026,,,,,,,,Hematite,Yanetal2023
888,,1.467,1.139,0.165,86.37334453236677,0.002,,,,,,,,Hematite,Yanetal2023
889,,0.146,0.471,0.014,89.25805545565956,0.084,,,,,,,,Hematite,Yanetal2023
890,,0.157,0.327,0.09,88.9460867180279,0.065,,,,,,,,Hematite,Yanetal2023
891,,0.008,6.237,0.11,80.0729758919273,2.616,,,,,,,,Hematite,Yanetal2023
892,,0.244,2.939,0.147,85.98838310932769,0.429,,,,,,,,Hematite,Yanetal2023
893,,0.176,0.465,0.069,88.85609573601876,0.017,,,,,,,,Hematite,Yanetal2023
894,,0.213,0.493,0.034,88.02517900213444,0.1,,,,,,,,Hematite,Yanetal2023
895,,0.076,0.804,0.033,89.11606968404514,0.297,,,,,,,,Hematite,Yanetal2023
896,,0.125,3.626,0.231,85.63441858009176,1.121,,,,,,,,Hematite,Yanetal2023
897,,0.586,1.279,0.166,86.6583159753957,0.123,,,,,,,,Hematite,Yanetal2023
898,,0.1,0.239,0.074,88.69411196840232,0.051,,,,,,,,Hematite,Yanetal2023
899,,0.045,0.644,0.015,87.57222439268845,0.508,,,,,,,,Hematite,Yanetal2023
900,UC1250,0.001,49.9869,0.1263,45.17508833952531,1.1098,1.0022,0.0212,,,,0.018,,Ilmenite,
901,UC894,0.069,47.962,0.035,47.23329363009392,1.055,1.199,0.018,,,,0.017,,Ilmenite,
902,UC1185,0.0094,47.5488,0.0642,47.40790595060234,1.2988,1.2411,0.007,,,,0.0056,,Ilmenite,
903,UC926,0.029,49.05,0.054,47.50226560443737,1.73,1.257,0.147,,,,0.0,,Ilmenite,
904,UC766,0.014,49.122,0.067,47.569328152924705,1.425,1.14,0.023,,,,0.013,,Ilmenite,
905,UC1185,0.0282,46.9885,0.0664,47.5738470414719,1.3791,1.1812,0.0105,,,,0.0225,,Ilmenite,
906,UC1185,0.03,47.4308,0.0582,47.591879619417504,1.3322,1.2347,0.0,,,,0.0,,Ilmenite,
907,UC928,0.036,48.894,0.047,47.624269677931025,1.769,1.119,0.077,,,,0.0,,Ilmenite,
908,UC926,0.041,48.943,0.049,47.63327393744925,1.586,1.233,0.06,,,,0.0,,Ilmenite,
909,UC926,0.066,48.673,0.088,47.678238901465534,1.683,1.213,0.098,,,,0.012,,Ilmenite,
910,UC932,0.011,48.193,0.085,47.72613034387028,1.747,1.15,0.607,,,,0.004,,Ilmenite,
911,UC1185,0.0025,47.1267,0.0542,47.72734356278674,1.3513,1.1872,0.0058,,,,0.0087,,Ilmenite,
912,UC1185,0.0211,47.1013,0.078,47.738548378970755,1.2551,1.1957,0.0208,,,,0.0213,,Ilmenite,
913,UC1204,0.0217,47.3067,0.0519,47.78126154291523,1.332,1.1682,0.0,,,,0.0,,Ilmenite,
914,UC1185,0.0261,47.0603,0.0713,47.78443715263569,1.3115,1.1942,0.0116,,,,0.0,,Ilmenite,
915,UC766,0.018,49.347,0.063,47.82332430159099,1.447,1.099,0.057,,,,0.006,,Ilmenite,
916,UC928,0.034,48.907,0.06,47.82924648026569,1.847,1.152,0.007,,,,0.0,,Ilmenite,
917,UC1185,0.0123,47.5908,0.052,47.842665720499994,1.3118,1.2483,0.0116,,,,0.0076,,Ilmenite,
918,UC1078,0.0,49.031,0.0,47.844286536651346,1.27,1.28,0.0,,,,0.0,,Ilmenite,
919,UC928,0.025,49.388,0.048,47.86728733177769,1.825,1.123,0.028,,,,0.012,,Ilmenite,
920,UC991,0.057,47.738,0.018,47.87017814616554,1.022,1.425,0.015,,,,0.023,,Ilmenite,
921,UC926,0.046,48.799,0.046,47.889231729976565,1.635,1.22,0.09,,,,0.038,,Ilmenite,
922,UC801,0.025,49.659,0.049,47.90237845616289,1.461,0.932,0.0,,,,0.0,,Ilmenite,
923,UC720,0.0,48.943,0.002,47.93425518509222,1.161,1.432,0.0,,,,0.0,,Ilmenite,
924,UC637,0.0,48.632,0.029,47.95828308378062,1.09,1.128,0.014,,,,0.02,,Ilmenite,
925,UC592,0.036,45.725,0.077,47.966018162482335,0.952,1.352,0.004,,,,0.015,,Ilmenite,
926,UC766,0.007,49.257,0.047,47.992301976144674,1.468,1.073,0.054,,,,0.018,,Ilmenite,
927,UC766,0.012,49.593,0.065,48.015329682912416,1.5,1.073,0.024,,,,0.0,,Ilmenite,
928,UC1210,0.1132,47.7579,0.092,48.02342791846867,1.1099,1.0154,0.0513,,,,0.0,,Ilmenite,
929,UC1204,0.0377,47.8046,0.0741,48.0435291578911,1.2608,1.4993,0.0211,,,,0.059,,Ilmenite,
930,UC573,0.0,48.685,0.0,48.04523537611546,1.405,1.189,0.041,,,,0.0,,Ilmenite,
931,UC1176,0.0079,47.5395,0.0534,48.04854582789342,1.3001,1.2353,0.0029,,,,0.0229,,Ilmenite,
932,UC1204,0.0079,48.1168,0.022,48.0677938602888,1.4879,1.1212,0.0044,,,,0.0,,Ilmenite,
933,UC766,0.0,49.092,0.088,48.06929019795924,1.373,1.092,0.017,,,,0.0,,Ilmenite,
934,UC1204,0.0277,47.0639,0.0493,48.14061221836596,1.3216,1.1411,0.0104,,,,0.0,,Ilmenite,
935,UC649,0.068,44.082,0.059,48.21978975460845,1.006,1.564,0.285,,,,0.024,,Ilmenite,
936,UC1210,0.2059,45.8778,0.0346,48.2533410408113,1.1918,1.0753,0.0477,,,,0.0253,,Ilmenite,
937,UC856,0.019,48.884,0.052,48.278265405758816,1.113,1.176,0.018,,,,0.024,,Ilmenite,
938,UC1176,0.0525,47.6252,0.0609,48.29955844648155,1.3555,1.0426,0.028,,,,0.0375,,Ilmenite,
939,UC175,0.032,48.031,0.058,48.315112579119315,1.299,1.457,0.128,,,,0.02,,Ilmenite,
940,UC901,0.045,48.969,0.061,48.33728590372216,1.086,1.035,0.105,,,,0.033,,Ilmenite,
941,UC770,0.0,49.46,0.013,48.3442849593614,1.469,1.084,0.038,,,,0.0,,Ilmenite,
942,UC1176,0.0317,47.4331,0.0672,48.35720644591797,1.2778,1.2549,0.0266,,,,0.031,,Ilmenite,
943,UC1176,0.0337,46.8261,0.0719,48.36674097620373,1.3266,1.2461,0.1165,,,,0.0,,Ilmenite,
944,UC1204,0.0188,47.2981,0.0535,48.37020114230698,1.3175,1.1837,0.0222,,,,0.0,,Ilmenite,
945,UC1176,0.0375,47.3144,0.0517,48.3716143280183,1.4125,0.9597,0.1769,,,,0.0,,Ilmenite,
946,UC1011,0.043,48.058,0.041,48.3761813708406,1.117,1.23,0.0,,,,0.019,,Ilmenite,
947,UC893,0.014,48.227,0.081,48.383121233431574,1.777,1.031,0.338,,,,0.017,,Ilmenite,
948,UC1210,0.0712,48.0588,0.0524,48.395336831902505,1.1515,0.8904,0.0,,,,0.0212,,Ilmenite,
949,UC1185,0.0109,47.0038,0.0734,48.407080401933875,1.3329,1.1315,0.0137,,,,0.0,,Ilmenite,
950,UC711,0.0,47.9,0.0,48.421092614105675,0.98,1.693,0.014,,,,0.0,,Ilmenite,
951,UC555,0.021,48.977,0.081,48.42726760250261,1.053,1.158,0.023,,,,0.0,,Ilmenite,
952,UC1210,0.0653,48.1006,0.0697,48.42983493307049,1.1559,0.8932,0.005,,,,0.0198,,Ilmenite,
953,UC987,0.033,48.115,0.041,48.43913468633324,1.094,1.474,0.046,,,,0.027,,Ilmenite,
954,UC641,0.019,48.593,0.078,48.4461782547524,0.974,1.397,0.203,,,,0.0,,Ilmenite,
955,UC894,0.0,48.224,0.0,48.45119061559051,1.092,1.202,0.0,,,,0.024,,Ilmenite,
956,UC856,0.013,48.851,0.058,48.45224739874209,1.144,1.145,0.02,,,,0.003,,Ilmenite,
957,UC1041,0.038,47.767,0.053,48.457130233107435,0.945,1.429,0.011,,,,0.03,,Ilmenite,
958,UC992,0.112,48.273,0.054,48.45716789387933,1.051,1.438,0.025,,,,0.0,,Ilmenite,
959,UC1204,0.005,47.1348,0.0685,48.4673441746975,1.3659,1.3384,0.0403,,,,0.0,,Ilmenite,
960,UC1204,0.0,47.2612,0.0626,48.473592152422285,1.2705,1.1864,0.0064,,,,0.0,,Ilmenite,
961,UC216,0.036,49.348,0.0,48.48127365505662,1.403,1.061,0.063,,,,0.017,,Ilmenite,
962,UC592,0.019,48.594,0.089,48.48422405093212,0.95,1.258,0.009,,,,0.0,,Ilmenite,
963,UC641,0.067,47.475,0.084,48.490121329541815,0.948,1.242,0.14,,,,0.0,,Ilmenite,
964,UC1077,0.071,48.189,0.061,48.4911972783376,0.832,1.306,0.016,,,,0.0,,Ilmenite,
965,UC1204,0.0298,47.0327,0.0737,48.49561133524027,1.2189,0.9766,0.0308,,,,0.0,,Ilmenite,
966,UC992,0.0,47.989,0.032,48.496128412419594,1.076,1.436,0.002,,,,0.06,,Ilmenite,
967,UC856,0.02,48.967,0.074,48.50924911462323,1.183,1.153,0.007,,,,0.002,,Ilmenite,
968,UC559,0.0,48.712,0.105,48.52920692573807,1.037,1.301,0.051,,,,0.0,,Ilmenite,
969,UC1012,0.017,48.179,0.0,48.54417200390108,1.082,1.236,0.026,,,,0.028,,Ilmenite,
970,UC1034,0.02,49.617,0.022,48.545320874779485,1.026,1.117,0.02,,,,0.032,,Ilmenite,
971,UC787,0.04,48.956,0.047,48.54821856708768,1.395,1.204,0.0,,,,0.038,,Ilmenite,
972,UC354,0.024,48.885,0.001,48.55825308749411,1.098,1.117,0.0,,,,0.0,,Ilmenite,
973,UC856,0.027,48.941,0.045,48.588243273471065,1.086,1.182,0.018,,,,0.03,,Ilmenite,
974,UC1210,0.0327,48.0182,0.0666,48.59839561744299,1.1643,0.9671,0.0,,,,0.0,,Ilmenite,
975,UC1004,0.0,48.215,0.073,48.60710657188274,1.043,1.628,0.013,,,,0.013,,Ilmenite,
976,UC1210,0.0723,46.6445,0.0257,48.614762758077966,1.2519,1.0099,0.0384,,,,0.0,,Ilmenite,
977,UC715,0.045,48.324,0.03,48.617117173583544,1.036,1.653,0.006,,,,0.0,,Ilmenite,
978,UC644,0.01,48.712,0.055,48.63620066692679,1.089,1.192,0.139,,,,0.01,,Ilmenite,
979,UC1204,0.0139,47.3774,0.0467,48.64839892092546,1.242,1.1292,0.0098,,,,0.0,,Ilmenite,
980,UC1185,0.0109,47.5309,0.0582,48.65500689262112,1.3333,1.1016,0.0089,,,,0.0,,Ilmenite,
981,UC549,0.043,48.648,0.0,48.65520116317798,1.098,1.256,0.01,,,,0.017,,Ilmenite,
982,UC911,0.038,48.896,0.024,48.65923484087107,1.126,1.167,0.0,,,,0.0,,Ilmenite,
983,UC1185,0.0228,47.0187,0.0641,48.66495954280295,1.3081,1.1469,0.0056,,,,0.0384,,Ilmenite,
984,UC1204,0.0366,46.8837,0.0593,48.67785208687757,1.2864,1.1356,0.0093,,,,0.0328,,Ilmenite,
985,UC175,0.055,48.302,0.023,48.68410852986679,1.429,1.422,0.03,,,,0.016,,Ilmenite,
986,UC216,0.012,49.642,0.0,48.684278782276344,1.41,1.054,0.05,,,,0.027,,Ilmenite,
987,UC645,0.049,49.053,0.086,48.685244881039274,0.947,1.25,0.043,,,,0.013,,Ilmenite,
988,UC559,0.017,48.702,0.087,48.69020130539604,0.97,1.297,0.039,,,,0.007,,Ilmenite,
989,UC1185,0.0159,47.063,0.0678,48.690543511919465,1.3356,1.2184,0.0226,,,,0.0,,Ilmenite,
990,UC1204,0.0258,47.1379,0.0725,48.691559811261165,1.3027,1.1835,0.0218,,,,0.0228,,Ilmenite,
991,UC787,0.0,48.655,0.0,48.69418011138311,1.428,1.134,0.027,,,,0.012,,Ilmenite,
992,UC609,0.066,49.068,0.014,48.69924998860708,1.114,1.162,0.007,,,,0.021,,Ilmenite,
993,UC1185,0.0129,47.1925,0.0631,48.704468638369846,1.3684,1.1136,0.0097,,,,0.0147,,Ilmenite,
994,UC592,0.004,48.111,0.08,48.70615470744476,0.977,1.261,0.031,,,,0.0,,Ilmenite,
995,UC1080,0.028,48.082,0.031,48.71312126020672,1.05,1.419,0.027,,,,0.041,,Ilmenite,
996,UC645,0.015,48.855,0.065,48.71921247736517,1.001,1.284,0.023,,,,0.02,,Ilmenite,
997,UC592,0.006,48.666,0.098,48.72419682849445,1.0,1.29,0.0,,,,0.0,,Ilmenite,
998,UC1185,0.0297,46.3294,0.02,48.73227814837511,1.3202,1.2321,0.0318,,,,0.0328,,Ilmenite,
999,UC1034,0.068,49.234,0.03,48.74127491162819,1.049,1.111,0.01,,,,0.018,,Ilmenite,
1000,REG-18_kalsilite_1,37.02,0.0,31.43,0.35,0.0,0.0,0.0,0.04,29.61,,0.0069,,Kalsilite,Beaetal2014
1001,REG-18_kalsilite_2,37.04,0.0,31.52,0.32,0.01,0.0,0.0,0.05,29.61,,0.0,,Kalsilite,Beaetal2014
1002,REG-18_kalsilite_3,37.16,0.0,31.45,0.27,0.0,0.0,0.0,0.07,29.61,,0.0,,Kalsilite,Beaetal2014
1003,REG-18_kalsilite_4,37.22,0.0,31.54,0.34,0.01,0.0,0.0,0.06,29.56,,0.0208,,Kalsilite,Beaetal2014
1004,REG-18_kalsilite_5,37.27,0.01,31.51,0.33,0.02,0.0,0.0,0.07,29.67,,0.0295,,Kalsilite,Beaetal2014
1005,REG-18_kalsilite_6,37.37,0.0,31.47,0.31,0.02,0.0,0.0,0.05,29.6,,0.0,,Kalsilite,Beaetal2014
1006,REG-22_kalsilite_7,37.13,0.0,31.42,0.37,0.01,0.0,0.0,0.07,29.57,,0.01,,Kalsilite,Beaetal2014
1007,REG-22_kalsilite_8,37.15,0.0,31.34,0.41,0.0,0.0,0.02,0.07,29.64,,0.01,,Kalsilite,Beaetal2014
1008,REG-22_kalsilite_9,37.15,0.01,31.37,0.48,0.02,0.0,0.01,0.07,29.55,,0.0,,Kalsilite,Beaetal2014
1009,REG-22_kalsilite_10,37.19,0.01,31.51,0.35,0.0,0.0,0.0,0.06,29.8,,0.0,,Kalsilite,Beaetal2014
1010,REG-22_kalsilite_11,37.24,0.0,31.35,0.48,0.0,0.0,0.0,0.07,29.57,,0.0,,Kalsilite,Beaetal2014
1011,REG-22_kalsilite_12,37.27,0.02,31.33,0.47,0.0,0.0,0.0,0.08,29.37,,0.02,,Kalsilite,Beaetal2014
1012,REG-22_kalsilite_13,37.29,0.0,31.45,0.34,0.0,0.0,0.0,0.08,29.52,,0.01,,Kalsilite,Beaetal2014
1013,REG-22_kalsilite_14,37.31,0.0,31.32,0.42,0.0,0.0,0.01,0.09,29.42,,0.0,,Kalsilite,Beaetal2014
1014,REG-22_kalsilite_15,37.33,0.0,31.52,0.39,0.0,0.0,0.0,0.07,29.71,,0.05,,Kalsilite,Beaetal2014
