entity_id,Mineral,method,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,Si,Ti,Al,Fe,Cr,Mn,Mg,Ni,Co,Ca,Na,K,P,O
45849,Orthopyroxene,EMP,54.56999969,0.230000004,3,,0.25,13.43999958,0.200000003,27.75,,,1.370000005,0.02,0.059999999,,,,,,,,,,,,,,,
45850,Orthopyroxene,EMP,53.59999847,0.170000002,4.309999943,,0.300000012,11.39000034,0.230000004,28.20000076,,,1.200000048,0.109999999,0.02,,,,,,,,,,,,,,,
48347,Orthopyroxene,EMP,57.4,0.02,0.23,,0.02,4.5,0.04,35.7,0.03,,0.59,0.04,,,,,,,,,,,,,,,,
48816,Orthopyroxene,EMP,54,0.08,5.76,,0.51,6.19,0.04,31.1,,,2.12,0.34,,,,,,,,,,,,,,,,
48817,Orthopyroxene,EMP,54,0.07,6.39,,0.63,5.59,0.03,31.6,,,1.95,0.28,,,,,,,,,,,,,,,,
48818,Orthopyroxene,EMP,54.8,0.07,5.83,,0.61,5.7,0.03,30.8,,,2.11,0.3,,,,,,,,,,,,,,,,
48819,Orthopyroxene,EMP,53.6,0.08,5.34,,0.5,5.78,0.04,31,,,2.13,0.38,,,,,,,,,,,,,,,,
48820,Orthopyroxene,EMP,53.2,0.13,5.47,,0.51,5.82,0.04,31,,,2.13,0.36,,,,,,,,,,,,,,,,
48821,Orthopyroxene,EMP,53.4,0.09,5.09,,0.48,5.51,0.02,31.8,,,2.16,0.39,,,,,,,,,,,,,,,,
48822,Orthopyroxene,EMP,54.8,0.05,5.47,,0.56,4.44,0.04,32.4,,,1.66,0.25,,,,,,,,,,,,,,,,
48823,Orthopyroxene,EMP,52.9,0.05,8.3,,0.83,5.14,0.02,30,,,2.33,0.24,,,,,,,,,,,,,,,,
48824,Orthopyroxene,EMP,54.3,0.21,6.89,,0.75,4.99,0.12,30.9,,,2.26,0.23,,,,,,,,,,,,,,,,
48825,Orthopyroxene,EMP,53.5,0.23,7.91,,0.86,5.2,0.13,30.3,,,2.33,0.25,,,,,,,,,,,,,,,,
48826,Orthopyroxene,EMP,52,0.33,8.96,,0.66,6.01,0.13,29,,,2.31,0.23,,,,,,,,,,,,,,,,
48865,Orthopyroxene,EMP,53.36,0.07,7.55,,0.78,5.96,0.15,31.01,,,1.72,0.18,,,,,,,,,,,,,,,,
48866,Orthopyroxene,EMP,54.24,0.07,7.1,,0.73,6.22,0.16,30.47,,,1.96,0.23,,,,,,,,,,,,,,,,
48867,Orthopyroxene,EMP,53.95,0.06,6.4,,0.81,5.73,0.14,31.49,,,1.52,0.16,,,,,,,,,,,,,,,,
48868,Orthopyroxene,EMP,55.22,0.05,4.43,,0.84,5.46,0.12,32.4,,,1.54,0.17,,,,,,,,,,,,,,,,
49179,Orthopyroxene,EMP,55.34,0.31,0.7,,0,15.19,0.26,27.62,,,1.47,0.02,0,0,,,,,,,,,,,,,,
49219,Orthopyroxene,EMP,53.67,0.12,2.62,,0.82,13.26,0.26,27.45,,,2.05,0.03,,,,,,,,,,,,,,,,
49220,Orthopyroxene,EMP,52.7,0.37,4.21,,0.97,13.17,0.37,26.7,,,1.84,0.04,,,,,,,,,,,,,,,,
49221,Orthopyroxene,EMP,51.29,1.05,5.36,,1.33,12.86,0.3,26.03,,,2,0.07,,,,,,,,,,,,,,,,
49222,Orthopyroxene,EMP,53.15,0.42,3.93,,1.12,13.72,0.4,25.31,,,2.03,0.04,,,,,,,,,,,,,,,,
49223,Orthopyroxene,EMP,54.36,0.34,3.22,,0.97,11.96,0.34,27.99,,,1.53,0.04,,,,,,,,,,,,,,,,
49224,Orthopyroxene,EMP,51.98,0.78,3.53,,1.06,13.14,0.28,26.44,,,1.79,0.04,,,,,,,,,,,,,,,,
49255,Orthopyroxene,EMP,57,,4,,,,,35.5,,,2.6,0.14,,,,,,,,,,,,,,,,
49256,Orthopyroxene,EMP,54.9,,9.4,,,,,33.6,,,2.4,0.14,,,,,,,,,,,,,,,,
49257,Orthopyroxene,EMP,53.8,,9.6,,,,,34.1,,,2.4,0.14,,,,,,,,,,,,,,,,
49258,Orthopyroxene,EMP,53.4,,10.5,,,,,34,,,2,0.15,,,,,,,,,,,,,,,,
49259,Orthopyroxene,EMP,54,,10.5,,,,,33.8,,,2.1,0.17,,,,,,,,,,,,,,,,
49390,Orthopyroxene,EMP,59.3,,,,,,,38.7,,,2,,,,,,,,,,,,,,,,,
49391,Orthopyroxene,EMP,59.4,,,,,,,38.5,,,2,,,,,,,,,,,,,,,,,
49392,Orthopyroxene,EMP,59.2,,0.1,,,,,37.7,,,2.8,,,,,,,,,,,,,,,,,
49469,Orthopyroxene,EMP,54.76,0.45,3.2,,0.37,14.89,0.21,36.32,0.19,,2.36,0,0,0,,,,,,,,,,,,,,
49903,Orthopyroxene,EMP,56.99,0.06,1.44,,0.57,7.39,,33.24,,,0.65,0.08,0.03,,,,,,,,,,,,,,,
