citation,citation_id,citation_text
"[23033] VOUTE F., HAGEMANN S. G., KEMP A. I. S., THEBAUD N., EVANS N. J., VILLANES C.:    PROTRACTED EVOLUTION OF THE MARAÑÓN VALLEY AU BELT MAGMATIC COMPLEX IN THE PERUVIAN ANDES USING ZIRCON OXYGEN ISOTOPES, LU-HF AND U-PB ANALYSES    LITHOS 338-339   [2019]  34-57    GeoReM-id: 12105   doi: 10.1016/j.lithos.2019.03.036",[23033],"VOUTE F., HAGEMANN S. G., KEMP A. I. S., THEBAUD N., EVANS N. J., VILLANES C.:    PROTRACTED EVOLUTION OF THE MARAÑÓN VALLEY AU BELT MAGMATIC COMPLEX IN THE PERUVIAN ANDES USING ZIRCON OXYGEN ISOTOPES, LU-HF AND U-PB ANALYSES    LITHOS 338-339   [2019]  34-57    GeoReM-id: 12105   doi: 10.1016/j.lithos.2019.03.036"
"[23036] ABDEL-RAHMAN A.-F. M.:    GEOCHEMISTRY, AGE AND ORIGIN OF THE MONS CLAUDIANUS TTG BATHOLITH (EGYPT): INSIGHT INTO THE ROLE OF PAN-AFRICAN MAGMATISM IN UNITING PLATES OF GONDWANA    GEOL. MAG. 156   [2019]  969-988    doi: 10.1017/S0016756818000304",[23036],"ABDEL-RAHMAN A.-F. M.:    GEOCHEMISTRY, AGE AND ORIGIN OF THE MONS CLAUDIANUS TTG BATHOLITH (EGYPT): INSIGHT INTO THE ROLE OF PAN-AFRICAN MAGMATISM IN UNITING PLATES OF GONDWANA    GEOL. MAG. 156   [2019]  969-988    doi: 10.1017/S0016756818000304"
"[23037] DUAN MENG, NIU YAOLING, KONG JUANJUAN, SUN PU, HU YAN, ZHANG YU, CHEN SHUO, LI JIYONG:    ZIRCON U-PB GEOCHRONOLOGY, SR-ND-HF ISOTOPIC COMPOSITION AND GEOLOGICAL SIGNIFICANCE OF THE LATE TRIASSIC BAIJIAZHUANG AND LVJING GRANITIC PLUTONS IN WEST QINLING OROGEN    LITHOS 260   [2016]  443-456    doi: 10.1016/j.lithos.2016.04.015",[23037],"DUAN MENG, NIU YAOLING, KONG JUANJUAN, SUN PU, HU YAN, ZHANG YU, CHEN SHUO, LI JIYONG:    ZIRCON U-PB GEOCHRONOLOGY, SR-ND-HF ISOTOPIC COMPOSITION AND GEOLOGICAL SIGNIFICANCE OF THE LATE TRIASSIC BAIJIAZHUANG AND LVJING GRANITIC PLUTONS IN WEST QINLING OROGEN    LITHOS 260   [2016]  443-456    doi: 10.1016/j.lithos.2016.04.015"
"[23043] GAO KELY, DUO J., TANG JU-XING, SONG YANG, LIU Z. B., FANG XIANG, LI H. F., LI FENQI:    GEOCHRONOLOGY, PETROGEOCHEMISTRY, AND TECTONIC SETTING OF CRETACEOUS GRANITOIDS IN THE ZANZONGCUO ZONE, NORTHERN TIBET, CHINA    GEOCHEM. INT. 57   [2019]  424-437    doi: 10.1134/S0016702919040062",[23043],"GAO KELY, DUO J., TANG JU-XING, SONG YANG, LIU Z. B., FANG XIANG, LI H. F., LI FENQI:    GEOCHRONOLOGY, PETROGEOCHEMISTRY, AND TECTONIC SETTING OF CRETACEOUS GRANITOIDS IN THE ZANZONGCUO ZONE, NORTHERN TIBET, CHINA    GEOCHEM. INT. 57   [2019]  424-437    doi: 10.1134/S0016702919040062"
"[23044] LAI SHAOCONG, ZHU REN-ZHI:    PETROGENESIS OF EARLY CRETACEOUS HIGH-MG# GRANODIORITES IN THE NORTHEASTERN LHASA TERRANE, SE TIBET: EVIDENCE FOR MANTLE-DEEP CRUSTAL INTERACTION    J. ASIAN EARTH SCI. 177   [2019]  17-37    doi: 10.1016/j.jseaes.2019.02.021",[23044],"LAI SHAOCONG, ZHU REN-ZHI:    PETROGENESIS OF EARLY CRETACEOUS HIGH-MG# GRANODIORITES IN THE NORTHEASTERN LHASA TERRANE, SE TIBET: EVIDENCE FOR MANTLE-DEEP CRUSTAL INTERACTION    J. ASIAN EARTH SCI. 177   [2019]  17-37    doi: 10.1016/j.jseaes.2019.02.021"
"[23047] LI HUAN, ZHOU ZHE-KAI, ALGEO T. J., WU JINHUA, JIANG WEI-CHENG:    GEOCHRONOLOGY AND GEOCHEMISTRY OF TUFFACEOUS ROCKS FROM THE BANXI GROUP: IMPLICATIONS FOR NEOPROTEROZOIC TECTONIC EVOLUTION OF THE SOUTHEASTERN YANGTZE BLOCK, SOUTH CHINA    J. ASIAN EARTH SCI. 177   [2019]  152-176    doi: 10.1016/j.jseaes.2019.03.022",[23047],"LI HUAN, ZHOU ZHE-KAI, ALGEO T. J., WU JINHUA, JIANG WEI-CHENG:    GEOCHRONOLOGY AND GEOCHEMISTRY OF TUFFACEOUS ROCKS FROM THE BANXI GROUP: IMPLICATIONS FOR NEOPROTEROZOIC TECTONIC EVOLUTION OF THE SOUTHEASTERN YANGTZE BLOCK, SOUTH CHINA    J. ASIAN EARTH SCI. 177   [2019]  152-176    doi: 10.1016/j.jseaes.2019.03.022"
"[23048] CAO YONGHUA, MIKOLAICHUK A. V., XIE WEI, WANG CHRISTINA YAN:    AN EARLY DEVONIAN INTRA-PLATE BIMODAL VOLCANIC SUITE IN THE KYRGYZ NORTH TIANSHAN BELT, THE CENTRAL ASIAN OROGENIC BELT    J. ASIAN EARTH SCI. 179   [2019]  21-36    doi: 10.1016/j.jseaes.2019.04.007",[23048],"CAO YONGHUA, MIKOLAICHUK A. V., XIE WEI, WANG CHRISTINA YAN:    AN EARLY DEVONIAN INTRA-PLATE BIMODAL VOLCANIC SUITE IN THE KYRGYZ NORTH TIANSHAN BELT, THE CENTRAL ASIAN OROGENIC BELT    J. ASIAN EARTH SCI. 179   [2019]  21-36    doi: 10.1016/j.jseaes.2019.04.007"
"[23049] DAHLQUIST J. A., GRANDE M. M., ALASINO P. H., BASEI M. A. S., GALINDO C., MORENO J. A., MORALES CAMERA M. M.:    NEW GEOCHRONOLOGICAL AND ISOTOPE DATA FOR THE LAS CHACRAS - POTRERILLOS AND RENCA BATHOLITHS: A CONTRIBUTION TO THE MIDDLE-UPPER DEVONIAN MAGMATISM IN THE PRE-ANDEAN FORELAND (SIERRAS PAMPEANAS, ARGENTINA), SW GONDWANA    J. S. AMER. EARTH SCI. 93   [2019]  348-363    doi: 10.1016/j.jsames.2019.04.026",[23049],"DAHLQUIST J. A., GRANDE M. M., ALASINO P. H., BASEI M. A. S., GALINDO C., MORENO J. A., MORALES CAMERA M. M.:    NEW GEOCHRONOLOGICAL AND ISOTOPE DATA FOR THE LAS CHACRAS - POTRERILLOS AND RENCA BATHOLITHS: A CONTRIBUTION TO THE MIDDLE-UPPER DEVONIAN MAGMATISM IN THE PRE-ANDEAN FORELAND (SIERRAS PAMPEANAS, ARGENTINA), SW GONDWANA    J. S. AMER. EARTH SCI. 93   [2019]  348-363    doi: 10.1016/j.jsames.2019.04.026"
"[23054] BATUMIKE J. M., BELOUSOVA E. A., GRIFFIN W. L., LUBALA T. R. F., CHABU M., KASETI P. K., DJUMA B. A., FERRIERE L.:    PETROGRAPHY AND PEROVSKITE U-PB AGE OF THE KATUBA KIMBERLITE, KUNDELUNGU PLATEAU (D.R. CONGO): IMPLICATIONS FOR REGIONAL TECTONISM AND MINERALISATION    J. AFR. EARTH SCI. 156   [2019]  35-43    doi: 10.1016/j.jafrearsci.2019.04.014",[23054],"BATUMIKE J. M., BELOUSOVA E. A., GRIFFIN W. L., LUBALA T. R. F., CHABU M., KASETI P. K., DJUMA B. A., FERRIERE L.:    PETROGRAPHY AND PEROVSKITE U-PB AGE OF THE KATUBA KIMBERLITE, KUNDELUNGU PLATEAU (D.R. CONGO): IMPLICATIONS FOR REGIONAL TECTONISM AND MINERALISATION    J. AFR. EARTH SCI. 156   [2019]  35-43    doi: 10.1016/j.jafrearsci.2019.04.014"
"[23058] JUAREZ-ZUNIGA S., SOLARI L. A., ORTEGA-OBREGON C.:    ORDOVICIAN TO SILURIAN IGNEOUS ROCKS IN SOUTHERN MEXICO AND CENTRAL AMERICA: GEOCHRONOLOGIC AND ISOTOPIC CONSTRAINTS ON PALEOGEOGRAPHIC MODELS    J. S. AMER. EARTH SCI. 93   [2019]  462-479    doi: 10.1016/j.jsames.2019.04.023",[23058],"JUAREZ-ZUNIGA S., SOLARI L. A., ORTEGA-OBREGON C.:    ORDOVICIAN TO SILURIAN IGNEOUS ROCKS IN SOUTHERN MEXICO AND CENTRAL AMERICA: GEOCHRONOLOGIC AND ISOTOPIC CONSTRAINTS ON PALEOGEOGRAPHIC MODELS    J. S. AMER. EARTH SCI. 93   [2019]  462-479    doi: 10.1016/j.jsames.2019.04.023"
"[23059] GOGOI A., MAJUMDAR D., COTTLE J. M., DUTTA P.:    GEOCHRONOLOGY AND GEOCHEMISTRY OF MESOPROTEROZOIC PORPHYRY GRANITOIDS IN THE NORTHERN KARBI HILLS, NE INDIA: IMPLICATIONS FOR EARLY TECTONIC EVOLUTION OF THE KARBI MASSIF    J. ASIAN EARTH SCI. 179   [2019]  65-79    doi: 10.1016/j.jseaes.2019.04.013",[23059],"GOGOI A., MAJUMDAR D., COTTLE J. M., DUTTA P.:    GEOCHRONOLOGY AND GEOCHEMISTRY OF MESOPROTEROZOIC PORPHYRY GRANITOIDS IN THE NORTHERN KARBI HILLS, NE INDIA: IMPLICATIONS FOR EARLY TECTONIC EVOLUTION OF THE KARBI MASSIF    J. ASIAN EARTH SCI. 179   [2019]  65-79    doi: 10.1016/j.jseaes.2019.04.013"
"[23070] ANTONYUK R. M., TRETYAKOV A. A., DEGTYAREV K. E., KOTOV A. B.:    THE EARLY ORDOVICIAN ALKALINE-ULTRAMAFIC ZHILANDY COMPLEX OF CENTRAL KAZAKHSTAN: STRUCTURE AND GEOCHRONOLOGY    DOKL. EARTH SCI. 484   [2019]  1-6    doi: 10.1134/S1028334X1901001X",[23070],"ANTONYUK R. M., TRETYAKOV A. A., DEGTYAREV K. E., KOTOV A. B.:    THE EARLY ORDOVICIAN ALKALINE-ULTRAMAFIC ZHILANDY COMPLEX OF CENTRAL KAZAKHSTAN: STRUCTURE AND GEOCHRONOLOGY    DOKL. EARTH SCI. 484   [2019]  1-6    doi: 10.1134/S1028334X1901001X"
"[23075] SCHILLER D., FINGER F.:    APPLICATION OF TI-IN-ZIRCON THERMOMETRY TO GRANITE STUDIES: PROBLEMS AND POSSIBLE SOLUTIONS    CONTRIB. MINERAL. PETROL. 174 (51)  [2019]     doi: 10.1007/s00410-019-1585-3",[23075],"SCHILLER D., FINGER F.:    APPLICATION OF TI-IN-ZIRCON THERMOMETRY TO GRANITE STUDIES: PROBLEMS AND POSSIBLE SOLUTIONS    CONTRIB. MINERAL. PETROL. 174 (51)  [2019]     doi: 10.1007/s00410-019-1585-3"
