,entity_id,Mineral,method,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,NN_Labels,NN_Labels_Test
952,31875,Clinopyroxene,EMP,50.5,0.899999976,2.700000048,0.0,6.5,0.129999995,15.39999962,,,22.20000076,0.519999981,0.0,,Clinopyroxene,Clinopyroxene
953,31876,Clinopyroxene,EMP,51.70000076,0.689999998,2.200000048,0.0,5.599999905,0.100000001,16.0,,,22.5,0.449999988,0.0,,Clinopyroxene,Clinopyroxene
954,31877,Clinopyroxene,EMP,51.20000076,0.810000002,2.400000095,0.0,6.5,0.090000004,15.60000038,,,22.29999924,0.409999996,0.0,,Clinopyroxene,Clinopyroxene
955,31878,Clinopyroxene,EMP,50.79999924,0.899999976,2.700000048,0.0,6.400000095,0.140000001,15.39999962,,,22.23999977,0.460000008,0.0,,Clinopyroxene,Clinopyroxene
956,31879,Clinopyroxene,EMP,50.90000153,1.0,2.599999905,0.0,6.199999809,0.109999999,16.0,,,22.29999924,0.409999996,0.0,,Clinopyroxene,Clinopyroxene
957,31880,Clinopyroxene,EMP,51.40000153,0.860000014,3.0,0.0,6.900000095,0.100000001,15.19999981,,,22.39999962,0.50999999,0.0,,Clinopyroxene,Clinopyroxene
958,31881,Clinopyroxene,EMP,51.5,0.800000012,2.099999905,0.0,6.199999809,0.119999997,15.89999962,,,22.29999924,0.409999996,0.0,,Clinopyroxene,Clinopyroxene
959,31882,Clinopyroxene,EMP,51.29999924,0.790000021,2.400000095,0.0,6.400000095,0.129999995,15.69999981,,,22.29999924,0.419999987,0.0,,Clinopyroxene,Clinopyroxene
960,31883,Clinopyroxene,EMP,52.0,0.649999976,2.0,0.0,5.5,0.090000004,16.0,,,22.44000053,0.389999986,0.0,,Clinopyroxene,Clinopyroxene
961,31884,Clinopyroxene,EMP,51.0,0.810000002,2.599999905,0.0,6.199999809,0.119999997,15.39999962,,,22.70000076,0.479999989,0.0,,Clinopyroxene,Clinopyroxene
962,31885,Clinopyroxene,EMP,50.29999924,1.100000024,3.400000095,0.0,6.800000191,0.170000002,14.80000019,,,21.89999962,0.560000002,0.0,,Clinopyroxene,Clinopyroxene
963,31886,Clinopyroxene,EMP,53.31999969,0.479999989,2.25,0.119999997,5.920000076,0.150000006,16.90999985,,,20.72999954,0.280000001,0.0,,Clinopyroxene,Clinopyroxene
964,31887,Clinopyroxene,EMP,51.06000137,0.620000005,3.160000086,0.01,6.179999828,0.119999997,15.77999973,,,20.81999969,0.270000011,0.0,,Clinopyroxene,Clinopyroxene
965,31888,Clinopyroxene,EMP,51.99000168,0.610000014,2.809999943,0.209999993,6.570000172,0.140000001,16.35000038,,,20.26000023,0.280000001,0.0,,Clinopyroxene,Clinopyroxene
966,31889,Clinopyroxene,EMP,51.43000031,0.660000026,3.029999971,0.059999999,6.760000229,0.150000006,15.97999954,,,20.97999954,0.289999992,0.0,,Clinopyroxene,Clinopyroxene
967,31890,Clinopyroxene,EMP,51.49000168,0.600000024,2.569999933,0.239999995,6.980000019,0.219999999,16.77000046,,,19.42000008,0.25,0.0,,Clinopyroxene,Clinopyroxene
968,31891,Clinopyroxene,EMP,51.15000153,0.529999971,2.569999933,0.189999998,5.550000191,0.159999996,16.37000084,,,21.36000061,0.319999993,0.0,,Clinopyroxene,Clinopyroxene
969,31892,Clinopyroxene,EMP,51.81000137,0.600000024,3.0,0.090000004,6.239999771,0.140000001,16.12999916,,,21.69000053,0.270000011,0.0,,Clinopyroxene,Clinopyroxene
970,31893,Clinopyroxene,EMP,51.63000107,0.579999983,2.539999962,0.07,5.809999943,0.129999995,16.86000061,,,20.43000031,0.25,0.0,,Clinopyroxene,Clinopyroxene
971,31894,Clinopyroxene,EMP,51.50999832,0.699999988,2.75999999,0.029999999,7.5,0.200000003,15.72999954,,,20.48999977,0.289999992,0.0,,Clinopyroxene,Clinopyroxene
972,31895,Clinopyroxene,EMP,53.40000153,0.519999981,2.930000067,0.07,7.639999866,0.219999999,15.35000038,,,18.79999924,0.370000005,0.0,,Clinopyroxene,Clinopyroxene
973,31896,Clinopyroxene,EMP,52.77000046,0.400000006,1.799999952,0.409999996,5.070000172,0.189999998,17.57999992,,,20.89999962,0.280000001,0.0,,Clinopyroxene,Clinopyroxene
974,31897,Clinopyroxene,EMP,51.75,0.25999999,2.430000067,0.0,6.050000191,0.170000002,16.51000023,,,21.32999992,0.330000013,0.0,,Clinopyroxene,Clinopyroxene
975,31898,Clinopyroxene,EMP,51.31000137,0.479999989,2.440000057,0.330000013,6.480000019,0.170000002,16.01000023,,,20.96999931,0.280000001,0.0,,Clinopyroxene,Clinopyroxene
976,31899,Clinopyroxene,EMP,52.68999863,0.050000001,3.650000095,2.109999895,3.74000001,0.119999997,22.81999969,,,14.56000042,0.119999997,0.0,,Clinopyroxene,Clinopyroxene
977,31900,Clinopyroxene,EMP,52.93999863,0.0,3.880000114,1.75999999,3.579999924,0.129999995,21.54000092,,,15.46000004,0.170000002,0.0,,Clinopyroxene,Clinopyroxene
978,31901,Clinopyroxene,EMP,51.95000076,0.059999999,4.659999847,1.50999999,3.539999962,0.100000001,20.69000053,,,16.69000053,0.219999999,0.0,,Clinopyroxene,Clinopyroxene
979,31902,Clinopyroxene,EMP,52.61999893,0.0,5.050000191,1.570000052,3.140000105,0.109999999,20.20000076,,,17.17000008,0.239999995,0.0,,Clinopyroxene,Clinopyroxene
980,31903,Clinopyroxene,EMP,51.77000046,0.090000004,5.809999943,1.120000005,3.339999914,0.100000001,19.53000069,,,17.21999931,0.219999999,0.0,,Clinopyroxene,Clinopyroxene
981,31904,Clinopyroxene,EMP,52.90000153,0.109999999,4.489999771,1.190000057,3.349999905,0.07,20.01000023,,,17.90999985,0.349999994,0.0,,Clinopyroxene,Clinopyroxene
982,31905,Clinopyroxene,EMP,53.70000076,0.0,2.74000001,1.909999967,2.619999886,0.079999998,20.04000092,,,19.26000023,0.180000007,0.0,,Clinopyroxene,Clinopyroxene
