,entity_id,Mineral,method,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,Total
688,31649,Biotite,EMP,37.65999985,3.049999952,21.23999977,,13.68999958,0.100000001,10.02999973,,,0.029999999,0.439999998,8.899999619,,95.139998499
689,31650,Biotite,EMP,38.70999908,3.190000057,21.45000076,,15.47000027,0.239999995,9.090000153,,,0.050000001,0.629999995,9.050000191,,97.880000502
690,31651,Biotite,EMP,36.43999863,3.390000105,18.78000069,,15.76000023,0.119999997,11.40999985,,,0.01,0.409999996,9.130000114,,95.44999961199998
691,31652,Biotite,EMP,37.33000183,3.210000038,19.38999939,,13.19999981,0.090000004,13.05000019,,,0.01,0.550000012,9.210000038,,96.040001312
692,31653,Biotite,EMP,38.56000137,5.53000021,18.45999908,,8.319999695,0.109999999,15.68999958,,,0.02,0.709999979,9.090000153,,96.49000006600001
693,31654,Biotite,EMP,36.75999832,3.190000057,20.71999931,,13.92000008,0.01,10.0,,,0.02,0.400000006,8.979999542,,93.999997315
694,31655,Biotite,EMP,36.00999832,3.289999962,19.55999947,,16.37999916,0.079999998,10.44999981,,,0.01,0.330000013,9.239999771,,95.349996504
695,31656,Biotite,EMP,37.36999893,3.480000019,19.11000061,,16.15999985,,10.65999985,,,0.029999999,0.270000011,8.25,,95.329999269
696,31657,Biotite,EMP,36.22999954,3.640000105,20.88999939,,14.35000038,0.119999997,9.649999619,,,0.01,0.310000002,9.390000343,,94.58999937600001
697,31658,Biotite,EMP,37.65000153,3.450000048,21.65999985,,12.14000034,,11.39000034,,,0.029999999,0.519999981,9.260000229,,96.10000231699999
698,31659,Biotite,EMP,37.13000107,3.380000114,19.75,,13.39999962,0.109999999,11.51000023,,,0.02,0.479999989,9.380000114,,95.16000113599999
699,31660,Biotite,EMP,37.18000031,5.050000191,18.62999916,,10.01000023,,14.30000019,,,0.01,0.579999983,9.229999542,,94.989999606
700,31661,Biotite,EMP,35.95000076,1.710000038,22.11000061,,16.87000084,0.050000001,8.630000114,,,0.050000001,0.319999993,8.229999542,,93.920001899
701,31662,Biotite,EMP,37.29999924,2.829999924,21.28000069,,14.19999981,0.079999998,9.630000114,,,0.029999999,0.289999992,8.630000114,,94.269999881
702,31663,Biotite,EMP,37.97000122,3.299999952,20.92000008,,14.90999985,,9.359999657,,,0.01,0.239999995,8.899999619,,95.61000037299999
703,31664,Biotite,EMP,38.75,4.010000229,21.32999992,,12.67000008,,10.35000038,,,0.050000001,0.360000014,8.770000458,,96.290001082
704,31666,Biotite,"EDS,EMP",41.56999969,1.440000057,12.85000038,,3.210000038,,23.76000023,,,,0.129999995,9.430000305,,92.390000695
705,31667,Biotite,"EDS,EMP",40.74000168,1.809999943,12.68999958,,2.950000048,,24.28000069,,,,0.150000006,10.86999989,,93.490001837
706,31668,Biotite,"EDS,EMP",40.61999893,1.5,11.93999958,,4.53000021,,23.62999916,,,,0.180000007,10.77999973,,93.179997617
707,31669,Biotite,EMP,35.68999863,2.470000029,17.13999939,0.029999999,17.85000038,0.119999997,12.10000038,,,0.419999987,0.639999986,9.850000381,,96.30999915899999
708,31670,Biotite,EMP,35.02000046,3.289999962,14.06000042,,19.82999992,1.639999986,9.630000114,,,0.07,0.730000019,8.270000458,,92.540001339
709,31671,Biotite,EMP,35.24000168,4.289999962,14.06999969,,21.37000084,1.929999948,8.829999924,,,0.100000001,0.699999988,8.729999542,,95.26000157499999
710,31672,Biotite,EMP,35.18000031,3.519999981,13.53999996,,21.47999954,2.00999999,8.579999924,,,0.209999993,0.540000021,9.010000229,,94.06999994799999
711,31673,Biotite,EMP,35.68000031,4.400000095,13.89999962,,23.52000046,2.099999905,6.440000057,,,0.119999997,0.680000007,8.569999695,,95.41000014599999
712,31674,Biotite,EMP,38.99000168,3.319999933,16.01000023,,10.89999962,3.119999886,12.47999954,,,1.320000052,1.039999962,8.119999886,,95.300000789
713,31675,Biotite,EMP,38.36999893,4.159999847,16.67000008,,21.21999931,3.74000001,5.110000134,,,0.079999998,1.179999948,8.109999657,,98.639997914
714,31676,Biotite,EMP,35.72999954,4.599999905,15.06000042,,18.54000092,4.260000229,7.619999886,,,0.039999999,0.730000019,8.159999847,,94.74000076499999
715,31677,Biotite,EMP,35.00999832,4.730000019,15.88000011,,19.61000061,0.340000004,9.56000042,,,0.159999996,0.699999988,9.090000153,,95.07999962
716,31678,Biotite,EMP,35.75,5.679999828,15.93000031,,20.67000008,0.409999996,8.220000267,,,0.25,0.649999976,8.520000458,,96.080000915
717,31679,Biotite,EMP,39.75,3.579999924,16.53000069,,16.89999962,0.439999998,9.020000458,,,0.400000006,1.230000019,8.420000076,,96.270000791
718,31680,Biotite,EMP,39.61999893,3.059999943,16.18000031,,17.23999977,0.519999981,9.369999886,,,0.219999999,0.720000029,8.819999695,,95.749998543
719,31681,Biotite,EMP,37.15000153,3.660000086,16.5,,13.14999962,0.419999987,14.46000004,,,0.25,0.550000012,8.859999657,,95.000000932
720,31682,Biotite,EMP,36.40999985,2.809999943,16.03000069,,13.93999958,0.670000017,14.90999985,,,0.129999995,0.409999996,8.989999771,,94.299999692
721,31683,Biotite,EMP,34.33000183,5.070000172,15.94999981,,17.92000008,0.449999988,10.35000038,,,0.270000011,0.439999998,8.800000191,,93.58000246
722,31684,Biotite,EMP,33.49000168,6.28000021,15.59000015,,19.23999977,0.389999986,9.449999809,,,0.349999994,0.460000008,8.18999958,,93.44000118700001
723,31685,Biotite,EMP,35.00999832,4.639999866,16.45000076,,21.18000031,0.319999993,8.729999542,,,0.479999989,0.439999998,8.199999809,,95.44999858700001
724,31686,Biotite,EMP,37.75999832,4.949999809,15.64000034,,20.67000008,0.439999998,7.570000172,,,0.340000004,0.99000001,8.770000458,,97.12999919100001
725,31687,Biotite,EMP,35.59999847,3.839999914,16.04000092,,14.96000004,0.50999999,14.43000031,,,0.180000007,0.519999981,8.989999771,,95.069999403
726,31688,Biotite,EMP,35.86999893,4.920000076,15.72000027,,15.14999962,0.5,13.22000027,,,0.25,0.439999998,9.359999657,,95.42999882100001
727,31689,Biotite,EMP,36.15999985,3.950000048,16.44000053,,12.81999969,0.550000012,14.86999989,,,0.280000001,0.550000012,9.069999695,,94.689999728
728,31690,Biotite,EMP,36.20999908,4.199999809,15.81000042,,13.88000011,0.529999971,14.18999958,,,0.449999988,0.409999996,9.420000076,,95.09999902999999
729,31691,Biotite,EMP,39.77999878,1.789999962,17.30999947,,19.04999924,1.830000043,5.860000134,,,0.200000003,1.610000014,7.559999943,,94.989997589
730,31692,Biotite,EMP,35.16999817,4.449999809,14.43999958,,23.68000031,2.019999981,6.53000021,,,0.090000004,0.629999995,8.670000076,,95.679998135
731,31693,Biotite,EMP,37.04999924,2.0,15.06000042,,11.60000038,2.519999981,14.64000034,,,0.340000004,0.670000017,9.010000229,,92.89000061099999
732,31694,Biotite,EMP,36.45999908,3.059999943,15.21000004,,12.71000004,3.150000095,13.13000011,,,0.400000006,0.649999976,8.760000229,,93.529999519
733,31695,Biotite,EMP,33.66999817,3.900000095,15.61999989,,19.98999977,0.50999999,8.520000458,,,0.200000003,0.469999999,8.640000343,,91.51999871800001
734,31696,Biotite,EMP,34.00999832,5.059999943,14.68000031,,22.38999939,0.610000014,7.880000114,,,0.280000001,0.49000001,8.899999619,,94.299997721
735,31697,Biotite,EMP,36.49000168,2.980000019,16.76000023,,11.59000015,0.430000007,15.64000034,,,0.159999996,0.340000004,9.210000038,,93.60000246400001
736,31698,Biotite,EMP,38.02999878,3.619999886,16.53000069,,12.56000042,0.660000026,15.14000034,,,0.340000004,0.529999971,9.159999847,,96.569999964
737,31699,Biotite,EMP,33.45999908,5.320000172,15.23999977,,24.03000069,0.610000014,7.670000076,,,0.340000004,0.600000024,8.93999958,,96.20999941000002
738,31700,Biotite,EMP,41.75,2.359999895,17.89999962,,10.0,0.349999994,12.56000042,,,1.090000033,0.829999983,8.489999771,,95.329999716
739,31701,Biotite,EMP,37.22000122,3.690000057,16.72999954,,12.75,0.560000002,14.52999973,,,0.239999995,0.610000014,9.090000153,,95.420000711
740,31713,Biotite,EMP,39.47999954,,18.60000038,,14.03999996,,16.15999985,,,2.180000067,0.439999998,9.619999886,,100.51999968099999
741,31714,Biotite,EMP,37.58000183,,18.52000046,,13.35999966,,16.11000061,,,0.730000019,0.430000007,9.710000038,,96.44000262399999
742,31715,Biotite,EMP,37.90000153,4.130000114,15.30000019,,12.0,0.209999993,15.69999981,,,,0.349999994,9.039999962,,94.630001593
