,entity_id,Mineral,method,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,Total
633,31571,Biotite,"SEM,EMP",36.83000183,3.829999924,8.140000343,,34.41999817,0.910000026,2.200000048,,,,0.419999987,8.149999619,,94.89999994699998
634,31572,Biotite,"SEM,EMP",38.34000015,1.590000033,6.909999847,,31.82999992,0.400000006,0.479999989,,,,1.019999981,7.489999771,,88.05999969700001
635,31573,Biotite,"SEM,EMP",35.22999954,2.960000038,6.409999847,,39.18999863,0.310000002,0.629999995,,,,0.589999974,8.329999924,,93.64999795
636,31574,Biotite,"XRD,EMP,SEM",40.63000107,2.50999999,14.28999996,,11.36999989,0.01,16.29000092,,,0.230000004,1.080000043,6.96999979,,93.380001667
637,31575,Biotite,"XRD,EMP,SEM",44.65999985,2.309999943,14.72999954,,9.340000153,0.150000006,16.45999908,,,0.340000004,1.429999948,6.550000191,,95.96999871499999
638,31576,Biotite,"XRD,EMP,SEM",42.06999969,2.109999895,16.37999916,,9.600000381,0.090000004,16.79999924,,,0.180000007,1.639999986,6.210000038,,95.07999840100001
639,31577,Biotite,EMP,40.16999817,0.870000005,14.71000004,,3.069999933,,24.89999962,,,,0.600000024,9.630000114,,93.94999790600001
640,31580,Biotite,EMP,41.88000107,1.190000057,14.57999992,,5.5,,22.47999954,,,,0.589999974,9.600000381,,95.82000094200001
641,31582,Biotite,EMP,39.84000015,0.810000002,14.81000042,,3.74000001,,23.67000008,,,,0.449999988,9.829999924,,93.15000057399999
642,31586,Biotite,EMP,40.09999847,1.25999999,15.89000034,,6.739999771,,19.88999939,,,,0.300000012,9.890000343,,94.069998316
643,31587,Biotite,EMP,41.27999878,0.930000007,16.22999954,,5.090000153,,21.07999992,,,,0.289999992,10.06999969,,94.96999808199999
644,31590,Biotite,EMP,39.47999954,6.489999771,15.65999985,,4.510000229,,19.45000076,,,,0.529999971,9.380000114,,95.500000235
645,31593,Biotite,EMP,39.52999878,4.269999981,16.12999916,,5.559999943,,19.63999939,,,,0.50999999,9.25,,94.889997244
646,31595,Biotite,EMP,40.54000092,3.25,15.35999966,,3.420000076,,22.89999962,,,,0.370000005,9.550000191,,95.390000472
647,31598,Biotite,EMP,41.20999908,2.289999962,15.77000046,,5.320000172,,19.95999908,,,,0.270000011,9.289999962,,94.109998727
648,31600,Biotite,EMP,41.93000031,1.970000029,15.85000038,,2.50999999,,21.42000008,,,0.02,0.140000001,10.03999996,,93.88000075000001
649,31601,Biotite,EMP,38.56000137,0.379999995,19.64999962,,2.140000105,,23.95999908,,,,0.850000024,9.329999924,,94.87000011800001
650,31604,Biotite,EMP,37.49000168,0.49000001,20.79999924,,3.910000086,,21.98999977,,,,0.860000014,9.140000343,,94.680001143
651,31606,Biotite,EMP,37.68999863,0.330000013,20.26000023,,2.329999924,,22.5,,,,0.639999986,9.539999962,,93.28999874499999
652,31609,Biotite,EMP,38.38999939,0.449999988,21.03000069,,3.75,,19.89999962,,,,0.660000026,9.380000114,,93.559999828
653,31610,Biotite,EMP,40.40000153,1.49000001,14.39000034,,4.510000229,,23.54000092,,,,0.620000005,9.579999924,,94.53000295800001
654,31612,Biotite,EMP,40.47000122,1.269999981,15.68999958,,3.980000019,,23.18000031,,,,0.49000001,9.819999695,,94.900000815
655,31615,Biotite,EMP,39.49000168,5.199999809,15.56000042,,4.269999981,,19.98999977,,,,0.550000012,9.350000381,,94.410002053
656,31616,Biotite,EMP,42.13000107,4.590000153,16.29000092,,5.659999847,,19.18000031,,,,0.550000012,8.93999958,,97.340001892
657,31617,Biotite,EMP,39.79000092,3.450000048,16.25,,4.429999828,,20.59000015,,,,0.310000002,9.579999924,,94.40000087199999
658,31618,Biotite,EMP,40.09999847,3.440000057,16.04999924,,4.909999847,,19.97999954,,,,0.360000014,9.43999958,,94.279996748
659,31619,Biotite,EMP,38.88000107,0.639999986,19.71999931,,1.899999976,,23.52000046,,,,1.029999971,9.029999733,,94.72000050599999
660,31621,Biotite,EMP,40.20000076,0.819999993,18.12000084,,4.570000172,,20.52000046,,,,0.720000029,9.18999958,,94.140001834
661,31622,Biotite,EMP,37.59999847,0.439999998,20.38999939,,2.890000105,,20.79000092,,,,0.730000019,9.380000114,,92.21999901599999
662,31623,Biotite,EMP,39.0,0.50999999,22.0,,3.269999981,,21.61000061,,,,,9.43999958,,95.830000161
663,31624,Biotite,no_info,39.08300018,0.694000006,16.4659996,,4.802000046,0.061999999,22.04199982,,,0.079999998,1.628000021,7.59100008,,92.44799975000001
664,31625,Biotite,no_info,44.24700165,0.514999986,16.83499908,,4.306000233,0.050000001,18.58399963,,,0.345999986,1.934000015,6.47300005,,93.290000631
665,31626,Biotite,no_info,42.38399887,0.610000014,14.46700001,,4.916999817,0.081,24.72500038,,,0.158000007,1.312999964,6.157999992,,94.812999054
666,31627,Biotite,"EMP,SEM",39.40999985,1.820000052,19.85000038,,12.98999977,0.340000004,11.75,,,0.159999996,0.879999995,8.56000042,0.090000004,95.850000471
667,31628,Biotite,"EMP,SEM",37.54999924,4.130000114,15.82999992,,12.85999966,0.119999997,14.18000031,,,0.029999999,0.560000002,8.979999542,0.150000006,94.38999878999999
668,31629,Biotite,"EMP,SEM",40.58000183,2.279999971,18.05999947,,15.56999969,0.239999995,8.619999886,,,0.039999999,0.980000019,7.519999981,,93.89000084099999
669,31630,Biotite,"EMP,SEM",36.24000168,3.309999943,18.45999908,,17.06999969,0.039999999,9.289999962,,,0.039999999,0.660000026,8.600000381,,93.71000076000001
670,31631,Biotite,"EMP,SEM",39.38000107,2.730000019,18.53000069,,15.86999989,0.07,8.920000076,,,0.270000011,0.810000002,7.949999809,0.25999999,94.79000155700001
671,31632,Biotite,"EMP,SEM",37.06000137,3.900000095,18.0,,13.88000011,,11.44999981,,,0.189999998,0.949999988,8.529999733,,93.960001104
672,31633,Biotite,"EMP,SEM",39.24000168,3.99000001,18.72999954,,9.93999958,,13.28999996,,,0.100000001,0.660000026,7.590000153,0.079999998,93.62000094800001
673,31634,Biotite,"EMP,SEM",37.45999908,3.039999962,18.45999908,,16.31999969,,9.81000042,,,0.029999999,0.720000029,8.510000229,,94.349998489
674,31635,Biotite,"EMP,SEM",36.34999847,3.470000029,18.70999908,,15.13000011,,10.93999958,,,,0.790000021,9.010000229,0.200000003,94.599997522
675,31636,Biotite,"EMP,SEM",43.65999985,2.960000038,19.42000008,,10.07999992,,10.35999966,,,0.119999997,1.049999952,8.180000305,0.109999999,95.939999801
676,31637,Biotite,"EMP,SEM",40.13999939,3.730000019,20.82999992,,9.859999657,,10.36999989,,,0.109999999,0.790000021,8.640000343,0.029999999,94.49999923799999
677,31638,Biotite,"EMP,SEM",44.15999985,3.819999933,18.46999931,,7.5,,10.59000015,,,0.170000002,1.110000014,8.579999924,0.189999998,94.58999918100001
678,31639,Biotite,"EMP,SEM",35.63000107,3.890000105,16.54000092,,17.60000038,0.079999998,11.93999958,,,0.050000001,0.600000024,8.069999695,,94.40000177300001
679,31640,Biotite,"EMP,SEM",37.59999847,3.0,18.20000076,,15.98999977,0.039999999,10.05000019,,,0.050000001,0.689999998,8.569999695,0.119999997,94.30999888000001
680,31641,Biotite,"EMP,SEM",37.5,3.299999952,17.53000069,,15.11999989,,11.22999954,,,0.039999999,0.699999988,9.5,0.02,94.940000059
681,31642,Biotite,"EMP,SEM",39.81999969,3.029999971,20.21999931,,11.55000019,,9.779999733,,,0.079999998,0.850000024,8.760000229,0.029999999,94.119999144
682,31643,Biotite,"EMP,SEM",40.59999847,4.849999905,18.20000076,,10.27000046,,11.85000038,,,0.039999999,0.639999986,9.229999542,,95.67999950200002
683,31644,Biotite,EMP,40.13999939,6.239999771,15.96000004,,11.02000046,0.079999998,14.52000046,,,0.07,0.50999999,9.079999924,,97.620000033
684,31645,Biotite,EMP,36.93000031,3.24000001,21.10000038,,15.46000004,0.129999995,9.409999847,,,0.02,0.460000008,8.869999886,,95.62000047600002
685,31646,Biotite,EMP,41.47999954,2.910000086,20.53000069,,12.89000034,0.050000001,8.579999924,,,0.119999997,0.699999988,7.570000172,,94.830000738
686,31647,Biotite,EMP,38.47000122,2.930000067,21.05999947,,13.22999954,0.029999999,11.07999992,,,0.059999999,0.550000012,8.569999695,,95.97999992200002
687,31648,Biotite,EMP,37.33000183,3.849999905,21.46999931,,15.18000031,0.209999993,8.609999657,,,0.029999999,0.439999998,9.119999886,,96.24000088800001
