0,1.317206,0,0,0,0,0.7351085,0.3360515,0,0.08470149,0,0,2.159446,1.537966,0,0,0,0,0,0.09661561,2.468364,0,1.928676,0,0,2.949328,0,0,2.237513,1.732586,1.347989,0,0,0,0,0.2434906,3.517111,0,0.7058228,0,
0.3261946,0,0,0,0,1.385509,0,0,1.414913,0,1.128804,0,0.4532106,0,0.9747337,0,0,1.89165,0,0,1.714272,0,0.4404744,0.5065859,0,0.9136496,0,0.2204225,1.53712,0,0,0,0,0,1.814675,0,0,0,0.4265321,0,
0.7872699,0,1.640824,1.999372,0,0,0,0,0,0,2.063305,0,0.3958395,1.309322,0,7.349451,0,0,0,0,0.02315669,0.1643554,0,0,0.1783932,0.1497151,1.26682,0,0,0,0,2.03146,0,0.004145153,0,0.3234546,0,0,1.228238,0.6793186,
0.4021046,0.05729793,0,0,0.388129,2.061929,2.511429,0.06868396,0,0.5942032,0.2356223,0,0,0,0,0,0.05499201,0.4733893,0,0.0250326,0,1.109227,0,1.638845,0,0.4983687,0,0.9594394,0,1.202002,0,0,0,0,0,0,0,0.4604784,1.855453,0,
0.1882562,0,0,1.006409,0,0,0.6412515,1.574155,0,0,0,0.07496802,0.5915015,0,0,1.279043,0,0.4888988,1.317885,0.3425274,0.257006,0.5506727,0,0,0,0.5431269,0.5617148,0.3314347,0.09733898,0,0,0.01782276,0,0.7476208,0,0,0,0,0.4898698,0,
1.56544,0,0.1747705,0.04857402,0,0,0,0,2.754509,0,1.494055,0.7518517,3.122792,0.6181536,0.3625762,0,0.4904498,0.06674676,0.9223369,1.447511,0.02517612,0,1.307434,0.544855,0,0,0,0,0.2848731,0.4878745,0.4510409,0.003685655,0.3390567,1.24593,0.2841028,0,0,1.037435,0,0,
0,0.5120579,0,0,0.00747189,0.2448531,0,0,0.1569682,0,0,0.2033686,0,0.6723722,3.780874,0,0,0.8037574,0,1.672186,2.577736,0,2.005913,0,0,0.8857094,1.032312,0,0,0,1.151076,0,0,0.03558638,0.2964161,0.5891384,0.2258461,0.2126945,0,0,
0,1.972921,0,1.761818,0,0,0,0.8950256,2.185104,0,1.742945,0,0.1492528,0.005402067,0.004868478,0,0,0.3621066,0,0,0.03640835,2.806881,0,0.4781013,0.4405412,0,0,0,1.838413,4.98122,0,2.558196,0,0.4078081,0.3186504,0,0.9288234,1.581759,0,0.3162875,
2.471718,0,0,0.5400261,0,1.16555,0,0,0,2.838165,0.1127636,0,0.3504729,0,0.2965208,0.1242388,0,0,0,1.056095,0,0,0.5800247,0.6960318,0,0,0.5287818,0.3324145,0.2401206,0,0.4975134,0,0,0,0.4932128,1.49179,0,2.686023,1.097217,0,
0,0,0.005723534,0,0.3421496,0.1988534,0.293238,0,0,0.05461979,0,0.7287482,0.636664,0,0,0,0,0,0,0,0,0.341761,0,0,2.278303,0,1.046255,0,1.000336,1.296725,0.9275509,0.3244151,1.3621,0.410497,0.8382832,1.353489,0,0.08595169,2.272632,2.20221,
0,1.655228,0,0,0,0.03433935,0,0,0.3521876,0.03495627,0,1.987574,0.8921515,0.5215181,0,0,0,0.5913113,0,2.124703,0,0,0,0.8426827,0,0.4515815,0,0,0,0,1.74453,0,0,0,1.536143,1.624355,1.151613,0.723712,0,0.6195112,
2.355275,0,0,0.6335472,0.6458624,0,0.1375858,0,0.3032603,0,0,2.754642,0,0,0,0,1.049136,0.9826142,0,0,0,0,0,0,0.3966961,0.8899841,0,0,0,2.060337,0.1868125,0.1518987,0,2.382539,0,1.171747,0.764249,0,0,0,
0,1.485188,1.552117,0.4921979,0,0.3766262,0.4470666,0,0,0,2.206473,2.449681,0.01267509,0.590607,0,0.2830787,0.2282252,0.440856,0,0.1348516,0.2628988,0,0.865229,0.08914147,0,0.2119833,0,0,0.2454528,0.2365428,0,1.003369,0.6088149,0,0,0,2.021285,0,0.387342,0,
0,0.5093976,1.317042,0,0.1412328,0,3.214998,2.023091,0.6540668,1.242056,0.05073716,0,0,0,0,0.09503338,0,0,0,0,0.08008875,0.3585454,0,0.5568781,0.3320165,0,0.4955676,0,0,0,0,0,0,0.1929544,1.247883,0,0,0,0.7546362,0.4537677,
0,0,1.011262,0,0,1.00404,0.3162248,0.3625407,0,1.201785,0,3.951903,0,1.008193,1.828024,0.1524403,0,0,0,0.02462937,0.3174592,0.8810654,0,0,0,0,0,0,0.1911106,0,0.5593705,0,0.6123221,0,0,0,1.021355,0,0,0.05080942,
0.8823948,0.3706467,0.12112,0,0,0,0,1.891185,0,0,0,0.702103,0,2.835706,3.863066,0,0,0,0.7896491,0,0,0.7654664,3.336002,0,0,0,0.2934897,0,0.2390883,0.4291832,0,0.9137428,0,1.823398,0,1.280279,0,2.043348,0.1361863,0,
1.952911,0,0,0,2.4024,0,0.8350773,0.4242356,0,3.378619,3.485358,2.061781,0,0.8095215,0,0.1031311,1.337711,0,2.167533,0,0.8049552,0,0.7504703,0,0,0,1.587392,0,0,0,0,0.822069,0,0,0,0,0,0,0,0,
0,1.72345,3.216438,0,1.459363,1.192354,0,0.8780413,0,0.2951476,1.881136,0,0,1.431745,1.13089,0,3.395254,0,0,0,0,0,0,0,0,2.759181,2.020343,0,0,0,0,0,0,0.02064792,0,0,0,0,0.7288494,0,
0.1724161,0,0,2.201078,0,0,0.5982741,0,2.51203,0,0.5133049,0,0.643572,1.574193,2.329681,0,0,0.4187601,0,1.606855,0.2152054,0.7695647,0,0.1138173,0,0,0,1.155999,0.04178219,0,0.4654687,0.9293928,0,0,0.3386471,0,0,2.464153,0.3300768,0,
